Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Administration OÜ,contact@artitest.eu,,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 65-9, 13421
                            ",,,,,,,
Administration OÜ,,,,,,,,,,
Administration Services OÜ,office@youroffice.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
AKK Administration TÜ,andrus.kallastu@gmail.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Oja tn 134, 80047
                            ",,,,,,,
Credit Administration Communication OÜ,,,,,,,,,,
OÜ Credit Administration,,,,,,,,,,
EUR Administration OÜ,,,,,,,,,,
FTVGG Administration OÜ,andrius.daumantas@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
HR Group Administration OÜ,,,,,,,,,,
OÜ LIBACE,info@libace.eu,+372 53403280,"Pärnu maakond, Põhja-Pärnumaa vald, Libatse küla, Libatse tee 15, 87202
                            ",,,,,,,
Madalanos OÜ,,,,,,,,,,
MundoMadre OÜ,kaspar.kukin@hotmail.com,+372 5175576,"Võru maakond, Antsla vald, Antsla linn, Posti tn 5, 66404
                            ",,,,,,,
Orthopedic Administration OÜ,tilk.merli@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, J. Sütiste tee 19a-194/1, 13419
                            ",,,,,,,
Premium Administration OÜ,estonia@comistar.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Keemia tn 4, 10616
                            ",,,,,,,
Repforce OÜ,repforce@repforce.ee,+372 56299102,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2, 10138
                            ",,,,,,,
The Majmin Administrations OÜ,contact@thompsonstein.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 5, 11415
                            ",,,,,,,
