Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
18k Agency OÜ,,,,,,,,,,
1AGENCY & CO OÜ,1agency@1agency.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Mõisa tn 4, 13522
                            ",,,,,,,
1AMagency OÜ,marie@1amagency.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Bensiini tn 5-2, 10155
                            ",,,,,,,
2K Entertainment Agency OÜ,info@kollanekompass.ee,+372 56918932,"Harju maakond, Tallinn, Kesklinna linnaosa, C. R. Jakobsoni tn 17-62, 10128
                            ",,,,,,,
777 Agency OÜ,info@redinkasso.ee,+372 5088509,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 3 // 5 // 7, 10145
                            ",,,,,,,
7NS Digital Agency OÜ,rncnascimento@gmail.com,+351 912473303,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 10, 10148
                            ",,,,,,,
925 Agency OÜ,katia.grudina@gmail.com,,"Harju maakond, Viimsi vald, Randvere küla, Kikerpuu tee 25, 74016
                            ",,,,,,,
9 Dreams Sports Promotion Agency OÜ,,,,,,,,,,
A2 IT ELEMENT OÜ,gorbovaed@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
OÜ Aare Agency,aare.vaalma@gmail.com,+372 5035864,"Lääne maakond, Lääne-Nigula vald, Taebla alevik, Uus tn 20, 90801
                            ",,,,,,,
A&A Recycling OÜ,aarecyclingoy@gmail.com,+372 5059992,"Harju maakond, Jõelähtme vald, Rebala küla, Vahtra tn 8, 74222
                            ",,,,,,,
AAS Agency OÜ,alsen@list.ru,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pirita tee 26c/1-10, 12011
                            ",,,,,,,
Osaühing Abelco Agency,abelco@ariaship.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jakobi tn 21-2, 10144
                            ",,,,,,,
abZAgency OÜ,ihor@abz.agency,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 13, 10111
                            ",,,,,,,
AC Agency OÜ,accastingagency@gmail.com,+372 55596458,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Jahu tn 8-19, 10415
                            ",,,,,,,
Accounting Agency OÜ,info@accountingagency.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13-27, 10151
                            ",,,,,,,
Acolyte Agency OÜ,contact@alessiofancello.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
Adelian Agency OÜ,hello@adelian.ee,+372 56213646,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 24, 10135
                            ",,,,,,,
Adella Shipping OÜ,adella@adella.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Endla tn 4, 10142
                            ",,,,,,,
AdHouse Agency OÜ,,,,,,,,,,
AdRef Agency OÜ,referent.newspaper@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 67a, 10134
                            ",,,,,,,
OÜ ADVENTUS AGENCY,,,,,,,,,,
ADVERTISING AGENCY FOCUS OÜ,ruta.pyvi@gmail.com,+372 5030696,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 130-31, 12614
                            ",,,,,,,
AE Digital Agency OÜ,aare.arnold.akke@gmail.com,+372 56253717,"Saare maakond, Muhu vald, Hellamaa küla, Sepa, 94741
                            ",,,,,,,
Mittetulundusühing Aerobike Cycling Agency,karikasari@aerobike.ee,+372 53422196,"Harju maakond, Tallinn, Nõmme linnaosa, Aate tn 30b, 11616
                            ",,,,,,,
A&G Agency OÜ,ag.agency.oy@gmail.com,+372 5658125,"Tartu maakond, Tartu linn, Tartu linn, Kaunase pst 55-22, 50706
                            ",,,,,,,
agency0x OÜ,info@xolo.io,+447 823554761,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Agency11 Investments OÜ,jan@agency11.es,,"Carrer d'en Serra 19 3-1, Barcelona, 08002, Spain
                            ",,,,,,,
Agency99 OÜ,priidik.kasak@gmail.com,,"Lääne-Viru maakond, Rakvere linn, Roosi tn 7-7, 44311
                            ",,,,,,,
Agency Adventures OÜ,markoveeroja@planet.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Taludevahe tn 69-3, 13516
                            ",,,,,,,
Agency E&C OÜ,maximilians353@gmail.com,+372 58031217,"Harju maakond, Tallinn, Kesklinna linnaosa, Lembitu tn 8-103, 10114
                            ",,,,,,,
Agency Evi Pihla,,,,,,,,,,
Agency Graphix OÜ,,,,,,,,,,
Agency Group OÜ,erikamakler@bk.ru,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-5. korrus, 10145
                            ",,,,,,,
Agency House OÜ,,,,,,,,,,
Agency Icon Creatives OÜ,terjekissa@gmail.com,+372 55578570,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Niine tn 11, 10414
                            ",,,,,,,
Osaühing Agency Icon,kissa@agencyicon.com,+372 55578570,"Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Karja tn 23, 10148
                            ",,,,,,,
OÜ AGENCY LMO,thib.vl@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Kappeli tn 15-6, 10128
                            ",,,,,,,
Mittetulundusühing Agency of social initiatives KLF,,,,,,,,,,
AgencyPin OÜ,info@agencypin.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50, 10152
                            ",,,,,,,
Agency Skill UP OÜ,info@skillup.agency,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Paekaare tn 58-30, 13613
                            ",,,,,,,
AH Agency OÜ,aschercadoret136@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pirita tee 28a, 12011
                            ",,,,,,,
OÜ AICO Agency,,,,,,,,,,
Air Agency OÜ,lauri.jaksman@gmail.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Aisa tn 43/2-6, 80017
                            ",,,,,,,
AKM Agency TÜ,,,,,,,,,,
Aldebaran-Agency OÜ,mail@wfwbinder.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Alfred Agency OÜ,mihkelkristjanpant@gmail.com,,"Tartu maakond, Elva vald, Elva linn, Allika tn 3a, 61505
                            ",,,,,,,
A-List Concert Agency OÜ,,,,,,,,,,
AlphaAgency OÜ,office@alphabaltic.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Vikerlase tn 17-43, 13616
                            ",,,,,,,
Alpha Air Agency OÜ,,,,,,,,,,
Amabe agency OÜ,charles.tchamabe@gmail.com,+324 70628323,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
AM Secrets OÜ,info.amsecrets@gmail.com,+372 5118868,"Pärnu maakond, Pärnu linn, Pärnu linn, Riia mnt 50, 80019
                            ",,,,,,,
Angle2 agency OÜ,welcome@angleto.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Angström Agency OÜ,info@angstrm.com,+375 295982241,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Anna Darling Agency OÜ,anna.lanberg@gmail.com,+372 58338685,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-216, 10120
                            ",,,,,,,
AP Agency Osaühing,,,,,,,,,,
AP Media Agency OÜ,argo@mediasystem.ee,+372 5011172,"Harju maakond, Tallinn, Pirita linnaosa, Kase tn 8, 12011
                            ",,,,,,,
A-Pro ad Agency OÜ,info@a-pro.ee,+372 5080432,"Harju maakond, Harku vald, Harkujärve küla, Printsu tee 67, 76912
                            ",,,,,,,
APS Agency OÜ,,,,,,,,,,
ArbitrageAgency OÜ,ps@arbitrage-agency.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
Arengutreening OÜ,laine.randjarv@gmail.com,+372 53044808,"Harju maakond, Tallinn, Kesklinna linnaosa, P. Süda tn 11-7, 10118
                            ",,,,,,,
OÜ Art Media Agency,info@artmedia.ee,,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 76, 50605
                            ",,,,,,,
Arvutikeskus Teenused OÜ,eemasol@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Madara tn 33/5, 10613
                            ",,,,,,,
OÜ ASAP Agency,asapapap@gmail.com,+372 56500688,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Kunderi tn 26-2, 10121
                            ",,,,,,,
Azimut Agency OÜ,azimutcommerce@gmail.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe, 74626
                            ",,,,,,,
AtlasAgency OÜ,mikhail@atlasagency.pro,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Attitude Model Agency OÜ,,,,,,,,,,
Automation Agency OÜ,sirle@automationagency.io,,"Harju maakond, Tallinn, Haabersti linnaosa, Paldiski mnt 201-18, 13517
                            ",,,,,,,
AV Agency OÜ,veskis.arabella@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Karjamaa tn 11, 10416
                            ",,,,,,,
AWAKENING ARTISTS AGENCY OÜ,,,,,,,,,,
AYAN AGENCY OÜ,a.grebelnoi@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 57, 11913
                            ",,,,,,,
Babaoko Adabata OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8, 10143
                            ",,,,,,,
Osaühing Balt-Agency,,,,,,,,,,
BaltCrew Agency OÜ,accounting@baltcrew.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131-16, 12917
                            ",,,,,,,
BaltEst Agency OÜ,,,,,,,,,,
Balthazar Invest OÜ,sinuhobi@hot.ee,+372 56684747,"Harju maakond, Saku vald, Saku alevik, Teaduse tn 12-6, 75501
                            ",,,,,,,
Osaühing Baltic Aviation Space Agency,,,,,,,,,,
OÜ Baltic Bridge Culture And Communication Agency,,,,,,,,,,
Baltic Consulting Agency OÜ,,,,,,,,,,
Baltic Contsert Agency OÜ,,,,,,,,,,
Baltic EA OÜ,,,,,,,,,,
Baltic Event Agency OÜ,aleksandr.horvat@mail.ru,,"Harju maakond, Maardu linn, Nurga tn 4, 74113
                            ",,,,,,,
Baltic Innovation Agency OÜ,rene@bia.ee,+372 5029873,"Tartu maakond, Tartu linn, Tartu linn, Lai tn 30, 51005
                            ",,,,,,,
Baltic Innovation Agency OÜ,,,,,,,,,,
