Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Analysis Service OÜ,yvivfr@mail.ru,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
OÜ Baltic Business Analysis,,,,,,,,,,
Bitanalysis OÜ,info@xolo.io,+467 36808122,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
BM Sports Analysis & Consulting OÜ,bmsportsanalysis@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
Mittetulundusühing Centre of Financial Accounting and Analysis,,,,,,,,,,
Confidence Analysis OÜ,isaksen.frank@gmail.com,,"Laukøyveien 67, 9193, Norway
                            ",,,,,,,
Elge Accounting & Analysis OÜ,getter@lsg.ee,+372 56924022,"Tartu maakond, Kastre vald, Melliste küla, Järve tee 2, 62318
                            ",,,,,,,
Eye & Vision Analysis OÜ,,,,,,,,,,
Forest Analysis OÜ,jaanika.tillart@hotmail.com,,"Pärnu maakond, Tori vald, Nurme küla, Abrami-Madise, 85004
                            ",,,,,,,
Global Insights & Analysis OÜ,rmaesalu@gmail.com,+372 53439703,"Saare maakond, Saaremaa vald, Reina küla, Lepiku, 94553
                            ",,,,,,,
Litvay Analysis OÜ,,,,,,,,,,
Modern Systems Analysis OÜ,ktaveter@gmail.com,+372 56833394,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 51-64, 50703
                            ",,,,,,,
