Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
007 Agent & Partners OÜ,info@007team.eu,+372 5587811,"Harju maakond, Tallinn, Pirita linnaosa, Regati pst 12, 11911
                            ",,,,,,,
0xART OÜ,kuuskmihkel@hotmail.com,+372 53320803,"Harju maakond, Tallinn, Mustamäe linnaosa, Mustamäe tee 147-71, 12918
                            ",,,,,,,
123Apartments OÜ,123apartments@post.com,+372 59074048,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 20-37, 11411
                            ",,,,,,,
123 Reklaam OÜ,info@123.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vana-Posti tn 2-15, 10146
                            ",,,,,,,
159ART OÜ,artem159ART@gmail.com,+372 55943618,"Harju maakond, Kuusalu vald, Suurpea küla, Lahe põik 6-11, 74812
                            ",,,,,,,
1Apart OÜ,info@korvekeskus.ee,+372 53511884,"Tartu maakond, Tartu linn, Tartu linn, Soola tn 7, 51004
                            ",,,,,,,
1Ehituspartner OÜ,1ehituspartner@gmail.com,,"Võru maakond, Setomaa vald, Sesniki küla, Põllumetsa, 64023
                            ",,,,,,,
1Partner Advisory OÜ,mihkel.partel@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1Partner Arendus OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Ehitus OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1Partner Haldus OÜ,sulev.jaanus@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Kinnisvara Eesti OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Kinnisvaragrupp Osaühing,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Kinnisvarakonsultandid OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Kinnisvara Tallinn OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1PARTNER Kommertskinnisvara OÜ,1partner@1partner.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 3, 10143
                            ",,,,,,,
1Partner Seven Kinnisvarakonsultandid OÜ,,,,,,,,,,
1P Kinnisvara Tartu OÜ,tartu@1partner.ee,+372 5015581,"Tartu maakond, Tartu linn, Tartu linn, Soola tn 2, 51013
                            ",,,,,,,
1SmartHome Kinnisvarabüroo OÜ,jelena.muhhina1@gmail.com,+372 55576029,"Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 27-20, 13520
                            ",,,,,,,
1Tomato OÜ,,,,,,,,,,
1Valve Partner OÜ,muuk.1valve@gmail.com,+372 55662449,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 5, 10621
                            ",,,,,,,
1x1Partner OÜ,,,,,,,,,,
2018MNLA OÜ,,,,,,,,,,
2Intelligent Media Osaühing,marko@itosakond.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 11e, 12915
                            ",,,,,,,
2ndQuadrant Nordic OÜ,,,,,,,,,,
2Partnerit OÜ,2partnerit@gmail.com,+372 53453269,"Harju maakond, Tallinn, Nõmme linnaosa, Nurme tn 59-2, 11616
                            ",,,,,,,
Mittetulundusühing 2 Quick Start,alar@migmusic.ee,+372 56236362,"Harju maakond, Viimsi vald, Haabneeme alevik, Käärti tee 23, 74001
                            ",,,,,,,
2R Capital Partners UÜ,Rain.Raa@mail.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 104a-13, 11312
                            ",,,,,,,
2Smart OÜ,ivar264@gmail.com,+372 5548484,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 9-22, 51010
                            ",,,,,,,
2Smart Systems OÜ,reinuke@gmail.com,+372 56970018,"Harju maakond, Tallinn, Pirita linnaosa, Tuule tee 7, 12111
                            ",,,,,,,
3D Art Land OÜ,raul.ratsep@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kalevipoja põik 10-59, 13614
                            ",,,,,,,
