Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
"AB bankas ""Snoras"" Eesti filiaal",,,,,,,,,,
Advanced Banking Messages OÜ,,,,,,,,,,
OÜ ADVERTISMENT STARPROJEKT,,,,,,,,,,
AE Leadership OÜ,,,,,,,,,,
Aita Bank,,,,,,,,,,
Aktsiaselts Algitraks,,,,,,,,,,
"Allied Irish Banks,p.l.c. Eesti filiaal",,,,,,,,,,
Anastasia Zhbankova,,,,,,,,,,
Baltic Bankers OÜ,info@balticbankers.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Weizenbergi tn 32, 10127
                            ",,,,,,,
Osaühing Baltinfo Online,info@baltinfo.ee,+372 5017512,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 4-615, 10151
                            ",,,,,,,
Osaühing Bankana,cenfillevkin@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaarli pst 1 // Roosikrantsi tn 2, 10119
                            ",,,,,,,
aktsiaselts Bankend Agro,,,,,,,,,,
"Aktsiaselts ""Bankend EBG""",,,,,,,,,,
Bankend Eesti Aktsiaselts,,,,,,,,,,
Bankend Estate OÜ,secretary@bankend.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kai tn 5 // Sadama tn 6, 10111
                            ",,,,,,,
Osaühing Bankend Group,secretary@bankend.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kai tn 5 // Sadama tn 6, 10111
                            ",,,,,,,
Bankend Kinnisvarahooldus OÜ,,,,,,,,,,
Bankend Management OÜ,secretary@bankend.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kai tn 5 // Sadama tn 6, 10111
                            ",,,,,,,
Bankend Marketing OÜ,,,,,,,,,,
Bankend Restaurants OÜ,nimetabaar@hot.ee,+372 56493349,"Harju maakond, Tallinn, Kesklinna linnaosa, Mündi tn 2, 10146
                            ",,,,,,,
Osaühing Bankend Tax-Free,,,,,,,,,,
Bankend Trading OÜ,,,,,,,,,,
Bankers Group OÜ,,,,,,,,,,
Bankers Trust OÜ,,,,,,,,,,
Bankery Europe OÜ,riskikapital@gmail.com,+372 5177747,"Harju maakond, Viimsi vald, Viimsi alevik, Rabalille tee 1, 74001
                            ",,,,,,,
Bankes-Hughes OÜ,hello@bankes-hughes.eu,,"5 Merrivales Lane, Bloxham, Banbury, Oxfordshire, OX15 4ER, United Kingdom
                            ",,,,,,,
Banketi Brigaad OÜ,leila@kasvuhooned.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tehnika tn 7, 10149
                            ",,,,,,,
Banket Online OÜ,banket@online.ee,+372 59095095,"Harju maakond, Tallinn, Mustamäe linnaosa, Sääse tn 1-201, 10313
                            ",,,,,,,
OSAÜHING BANKETT,,,,,,,,,,
Osaühing Bankhead Invest,,,,,,,,,,
Bankino OÜ,,,,,,,,,,
AS Bankish,bankish@bankish.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 25, 10117
                            ",,,,,,,
Bankoff OÜ,,,,,,,,,,
Bank of Protected Information OÜ,tenseinoyowamushisa@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Ameerika tn 12, 10119
                            ",,,,,,,
Bankom OÜ,kali@bankom.co,+171 88658832,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Bankor Limited OÜ,hello@heaven.ventures,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 12-85, 10111
                            ",,,,,,,
osaühing Bankorp Arendus Grupp,,,,,,,,,,
BankorusExchange OÜ,,,,,,,,,,
BankorusMarketholding OÜ,,,,,,,,,,
Bankr Fintech OÜ,,,,,,,,,,
Bankroll UÜ,firma@paragrahv.ee,,"Tartu maakond, Tartu linn, Tartu linn, Ülikooli tn 6a-610, 51003
                            ",,,,,,,
Banksfer OÜ,kristilaur93@gmail.com,+372 53731501,"Harju maakond, Tallinn, Kristiine linnaosa, Madara tn 14, 10612
                            ",,,,,,,
Osaühing Banksia Group,,,,,,,,,,
Banksia OÜ,banksiaoy@gmail.com,,"Tartu maakond, Tartu vald, Kõrveküla alevik, Pärna tn 12, 60512
                            ",,,,,,,
Banksmith OÜ,banksmithou@gmail.com,,"Tartu maakond, Tartu vald, Vedu küla, Mõisa tn 10-5, 60536
                            ",,,,,,,
