Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
AMA Services OÜ,merkemaria@gmail.com,+372 53484817,"Rapla maakond, Rapla vald, Vaopere küla, Õie, 79314
                            ",,,,,,,
OÜ Andrey Commercial,andrewstoreou@gmail.com,+372 54668544,"Harju maakond, Tallinn, Lasnamäe linnaosa, Läänemere tee 20-131, 13913
                            ",,,,,,,
ArcelorMittal Commercial Baltics OÜ,marko.janno@arcelormittal.com,,"Harju maakond, Viimsi vald, Muuga küla, Koorma tn 5a, 74004
                            ",,,,,,,
Mittetulundusühing Baltic Commercial Diving Association,info@bcda.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tehnika tn 170, 10138
                            ",,,,,,,
Baltic Commercial Finance OÜ,,,,,,,,,,
Baltic Commercial Transport OÜ,baltcom.transport@mail.ee,+372 5153327,"Harju maakond, Tallinn, Pirita linnaosa, Künnapuu tn 29a-2, 12011
                            ",,,,,,,
OÜ Balti Majandusabi Büroo,,,,,,,,,,
Basic Kontorimööbel OÜ,info@basic.ee,+372 56156101,"Tartu maakond, Tartu linn, Tartu linn, Soola tn 7, 51004
                            ",,,,,,,
Blocktech Commercial OÜ,,,,,,,,,,
Broadcasting Commercial Operations OÜ,office@broadcastingplatforms.com,,"Hyytänpiha 1, Turku, 20400, Finland
                            ",,,,,,,
Budva Commercial OÜ,info@konsultvision.ee,+372 5167626,"Harju maakond, Viimsi vald, Haabneeme alevik, Hundi tee 11/1-1, 74001
                            ",,,,,,,
Commercial Agency OÜ,,,,,,,,,,
Commercial Brokering OÜ,thebrokerery@mail.ee,+372 55656131,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Commercial Investment Consult OÜ,heaelu@gmail.com,+372 53314448,"Harju maakond, Tallinn, Kesklinna linnaosa, Järvevana tee 9, 11314
                            ",,,,,,,
Commercial Legal Services OÜ,info@eestifirma.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
Commercial Planet boards Osaühing,vjatseslav.kapustin@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Pikaliiva tn 130-2, 13516
                            ",,,,,,,
