Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
OÜ 100M2,o.afanasjev@gmail.com,+372 5224491,"Harju maakond, Tallinn, Kesklinna linnaosa, Lai tn 33-4a, 10133
                            ",,,,,,,
12link OÜ,dmitriy.ruzhytskiy@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
1A CUE Consulting Engineering Estonia EnCo OÜ,Andre.Leppik@1acue.de,,"Harju maakond, Tallinn, Nõmme linnaosa, Vääna tn 7-4, 11612
                            ",,,,,,,
1Consulting Bureau OÜ,1cbureauou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 5, 10151
                            ",,,,,,,
1GeV.com Consulting & Investment OÜ,dirk@1GeV.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Köie tn 1b/1-6, 10415
                            ",,,,,,,
239 Consulting OÜ,simos.george@gmail.com,+372 7122930,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
26 Success Consulting OÜ,cedjob@gmail.com,+33 660458366,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Väike-Patarei tn 1/3, 10415
                            ",,,,,,,
2A CONSULTING OÜ,A2consultingou@protonmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
2K Consulting OÜ,,+790 32955237,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
OÜ 2T-Consulting,,,,,,,,,,
3A Consulting OÜ,juliakovaljova1986@gmail.com,+372 58185091,"Harju maakond, Saue vald, Hüüru küla, Mõisaniidu tee 21, 76911
                            ",,,,,,,
3MV Consulting OÜ,miikkavaananen@outlook.com,+358 401977734,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Jahu tn 1/2-109, 10415
                            ",,,,,,,
3Star01 Consulting Trading Co. OÜ,secnetps@gmail.com,+372 24606520,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
3Teed Consulting OÜ,Triin.obrock@gmail.com,,"Lääne-Viru maakond, Rakvere linn, Pikk tn 7/3, 44307
                            ",,,,,,,
3XA Consulting OÜ,,,,,,,,,,
404 Consulting OÜ,,,,,,,,,,
4A LAW CONSULTING OÜ,alicfuks@outlook.com,+372 53478012,"Harju maakond, Keila linn, Koidu tn 32, 76609
                            ",,,,,,,
OÜ 4Home,,,,,,,,,,
4th Dimension Consulting OÜ,alex4dc@4dc.com.co,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 47a-6, 10311
                            ",,,,,,,
4you Consulting OÜ,info@4youconsulting.ee,+372 58180142,"Harju maakond, Tallinn, Pirita linnaosa, Lükati tee 6-19, 12012
                            ",,,,,,,
5 Point Consulting OÜ,,,,,,,,,,
6Zone Consulting OÜ,candi@6zone.io,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 5, 11415
                            ",,,,,,,
828 Consulting OÜ,info@silvahunt.ee,,"Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 388b, 11612
                            ",,,,,,,
a19 Consulting OÜ,gregor@a19consulting.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 158, 11317
                            ",,,,,,,
A1 Consulting OÜ,estonia@samglobal.eu,,,,,,,,,
A4B consulting OÜ,A4Bcon@gmail.com,+372 5159875,"Harju maakond, Tallinn, Haabersti linnaosa, Päevalille tn 3-39, 13517
                            ",,,,,,,
AAA Consulting OÜ,arthur.aurientis@gmail.com,+336 25493166,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
AAA New Consulting OÜ,aaanewconsulting@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Aabel Consulting OÜ,,,,,,,,,,
OÜ Aaberon Consulting,,,,,,,,,,
AA-BKE Consulting OÜ,ahmed.abdulkadir88@gmail.com,+372 53059998,"Harju maakond, Tallinn, Kesklinna linnaosa, Pilve tn 4-21, 10142
                            ",,,,,,,
AAE Energy OÜ,,,,,,,,,,
AAK-Consulting Osaühing,airi.kana@eesti.ee,+372 5155526,"Harju maakond, Harku vald, Tabasalu alevik, Tooma tee 19, 76901
                            ",,,,,,,
Aali Consulting OÜ,alirezaazmi@msn.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
Aasma Consulting OÜ,normanaasma232@gmail.com,+372 53090157,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 16-16, 10117
                            ",,,,,,,
