Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Agriculture AS,tonu.salu@gmail.com,+372 5264003,"Pärnu maakond, Pärnu linn, Tõhela küla, Uue-Matsi, 88102
                            ",,,,,,,
Agriculture investment OÜ,astana.grain@mail.ru,+7 7017253004,"Harju maakond, Tallinn, Kesklinna linnaosa, Karu tn 14-8, 10120
                            ",,,,,,,
"Anija Sports, Culture & Art Academy MTÜ",,,,,,,,,,
Apiculture OÜ,jaak.vaabel@gmail.com,+372 5297431,"Tartu maakond, Tartu linn, Tartu linn, Kummeli tn 20-3, 50304
                            ",,,,,,,
Aquaculturer OÜ,hhiiemae@gmail.com,+372 5252707,"Põlva maakond, Põlva vald, Vastse-Kuuste alevik, Lootvina tee 3, 63601
                            ",,,,,,,
OÜ Baltic Bridge Culture And Communication Agency,,,,,,,,,,
Baltic-China Culture Exchange Society OÜ,liuweijx76@hotmail.com,+372 58128968,"Harju maakond, Tallinn, Lasnamäe linnaosa, Paevälja pst 5, 13619
                            ",,,,,,,
Mittetulundusühing Baltic Culture,,,,,,,,,,
Beauty Culture OÜ,erica.ea7@gmail.com,,"Ida-Viru maakond, Narva linn, Kangelaste prospekt 15-11, 20603
                            ",,,,,,,
Bridges of culture OÜ,illyakyrylov@googlemail.com,+49 15782511685,"Harju maakond, Tallinn, Haabersti linnaosa, Ehitajate tee 114-11, 13517
                            ",,,,,,,
mittetulundusühing Counterculture,,,,,,,,,,
Mittetulundusühing Culture Cave,,,,,,,,,,
Culturefishing MTÜ,culturefishing@online.ee,+372 58535842,"Tartu maakond, Luunja vald, Lohkva küla, Aiandi tee 3-16, 62207
                            ",,,,,,,
Culturefishing OÜ,culturefishing@online.ee,+372 58500988,"Tartu maakond, Luunja vald, Lohkva küla, Aiandi tee 3, 62207
                            ",,,,,,,
Culturefox OÜ,,,,,,,,,,
Culture House Management OÜ,,,,,,,,,,
Cultures Hands OÜ,haytham.elashmawy@cultureshands.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
Culture Shock Therapy OÜ,hmsmith83@gmail.com,+172 43551533,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
CULTURE TECHNOLOGIES OÜ,mihailovdev@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 3, 10114
                            ",,,,,,,
Culture Vulture OÜ,martinatramberg@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 45-7, 10311
                            ",,,,,,,
Culture Wars OÜ,sander.laanemaa@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kungla tn 8-4, 10411
                            ",,,,,,,
CultureWide MTÜ,neftaliperaljoris@gmail.com,+372 55696170,"Harju maakond, Tallinn, Kesklinna linnaosa, Valli tn 4, 10148
                            ",,,,,,,
de la Mancha Culture OÜ,mancha@schroeder-martin.net,,"Harju maakond, Viimsi vald, Randvere küla, Tiitsu tee 1-1, 74016
                            ",,,,,,,
Diversa Disruptive Culture OÜ,diversadc@gmail.com,+34 653871902,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
Dragon Culture Exchange MTÜ,,,,,,,,,,
European Agriculture Technologies OÜ,umbertozorzi@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Kunderi tn 35a, 10121
                            ",,,,,,,
mittetulundusühing Extreme Culture,geitymiilberg@gmail.com,+372 56651627,"Pärnu maakond, Pärnu linn, Pärnu linn, Nikolai tn 27, 80014
                            ",,,,,,,
Goliardos Society of Science Art & Culture OÜ,gosac.internacional@gmail.com,,"15  Rue de Verdun, 67000, France
                            ",,,,,,,
Growing Culture OÜ,olev.tinn@gmail.com,+372 5011053,"Harju maakond, Tallinn, Kesklinna linnaosa, F. R. Kreutzwaldi tn 22-3, 10147
                            ",,,,,,,
h2 AQUACULTURE OÜ,veli.kraavi@lextal.ee,+372 5057522,"Valga maakond, Otepää vald, Puka alevik, Kesk tn 3, 67217
                            ",,,,,,,
Hanmo Culture OÜ,,,,,,,,,,
