Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
0xDevelopment OÜ,info@estoniancompany.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
3ASOFT Development OÜ,o.myrnyi@3asoft.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
4U DEVELOPMENT OÜ,4udevelopmentou@gmail.com,+372 58557094,"Ida-Viru maakond, Narva-Jõesuu linn, Narva-Jõesuu linn, Vabaduse tn 72/1-4, 29023
                            ",,,,,,,
5u-3ma development OÜ,5u3madev@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Välja tn 4-67, 10616
                            ",,,,,,,
A7 Property Development OÜ,adjutant.c.g@gmail.com,+372 53332111,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 73, 12912
                            ",,,,,,,
Aaris Grupp OÜ,heli.siimson@hotmail.com,+372 5201039,"Harju maakond, Tallinn, Lasnamäe linnaosa, M. Härma tn 1-122, 13615
                            ",,,,,,,
Osaühing Abakus Development,info@abakus.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Ameerika tn 12-21, 10119
                            ",,,,,,,
Abler Development OÜ,sabaudzilauri@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, V. Reimani tn 5a, 10124
                            ",,,,,,,
Ableson Software OÜ,philip@maka.mba,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Adaptive Development OÜ,,,,,,,,,,
Adazi development OÜ,adazidevelopment@gmail.com,,"Harju maakond, Viimsi vald, Lubja küla, Paenurme tee 16, 74010
                            ",,,,,,,
ADC Development Company OÜ,,,,,,,,,,
ADP Development OÜ,d.shovkun@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-137, 10145
                            ",,,,,,,
Adverta Development OÜ,adverta.llc@gmail.com,,,,,,,,,
Adviseum OÜ,info@adviseum.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Selja tn 3, 13521
                            ",,,,,,,
aerosols OÜ,12505432@eesti.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Võidujooksu tn 1-25, 13628
                            ",,,,,,,
AE Software Development OÜ,anna.3gg3r@gmail.com,+436 509924014,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
AI Research and Development OÜ,company@researchdevelopment.ai,,"Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 8, 10132
                            ",,,,,,,
Air processing system OÜ,,,,,,,,,,
AK Developments OÜ,info@akdevlabs.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Randla tn 26-16, 10315
                            ",,,,,,,
Akili Economic Development OÜ,max.walter@icloud.com,,"Beco de Loureiro, 25, Lisbon, 1100-219, Portugal
                            ",,,,,,,
Akox Development OÜ,akoxdev.estonia@gmail.com,+372 53983076,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Akzo Wealth Development OÜ,info@attest.ee,,"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 12/3-4, 11912
                            ",,,,,,,
OÜ ALASI DEVELOPMENT,,,,,,,,,,
ALEKSANDRINNA Maritime Development OÜ,s.zahharov@aol.com,+372 5288751,"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 12/3, 11912
                            ",,,,,,,
Alexir Development OÜ,palmcoastm@aol.com,+372 5275270,"Harju maakond, Tallinn, Kesklinna linnaosa, Valge tn 11, 11415
                            ",,,,,,,
Alfa Development OÜ,,,,,,,,,,
AlfaWebHosting & development OÜ,igor.vancauwenberge@gmail.com,+32 497171867,"Harju maakond, Tallinn, Kesklinna linnaosa, Gonsiori tn 10-30, 10117
                            ",,,,,,,
AL-MA Development OÜ,amaryashov@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Meistri tn 16, 13517
                            ",,,,,,,
Alnicko Development OÜ,hello@alnicko.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
AlphaDevelopment OÜ,info@alphadev.eu,+372 58147073,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 43, 10128
                            ",,,,,,,
ALSENA DEVELOPMENT OÜ,artur@alsena.eu,,"Harju maakond, Maardu linn, Kreegipuu pst 41, 74117
                            ",,,,,,,
Alta Development Group OÜ,,,,,,,,,,
AMADORA OÜ,hello@amadora.io,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-158, 10145
                            ",,,,,,,
Amandus Development OÜ,kenno@amanduscommunication.se,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 12, 10148
                            ",,,,,,,
Amelok Development OÜ,vg18082011@gmail.com,,,,,,,,,
AMMB Development OÜ,ammb.dev@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Kärneri tn 1, 13521
                            ",,,,,,,
AMW International Consulting OÜ,martin@finantsguru.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 1, 11415
                            ",,,,,,,
Analytical Center for Development Initiatives MTÜ,info.5655680@gmail.com,+372 5655680,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-636, 10117
                            ",,,,,,,
Andmeagentuur OÜ,andmeagentuur@gmail.com,+372 55916951,"Harju maakond, Tallinn, Kesklinna linnaosa, Magasini tn 3g-4, 10138
                            ",,,,,,,
Andresson Developments OÜ,,,,,,,,,,
Osaühing ANF Development,,,,,,,,,,
ANK Development OÜ,anka976@gmail.com,+372 56698947,"Harju maakond, Viimsi vald, Laiaküla, Käära põik 12a-2, 74008
                            ",,,,,,,
Antarex Development OÜ,,,,,,,,,,
Antero Development OÜ,antero@kbporandad.ee,,"Harju maakond, Rae vald, Limu küla, Kesa tee 26-2, 75314
                            ",,,,,,,
Antiik Shop OÜ,antiikshop@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pikk tn 1, 10123
                            ",,,,,,,
APA Development and Holding OÜ,info@apaholding.ee,,"Tartu maakond, Tartu vald, Kärevere küla, Ojari tee 12, 60603
                            ",,,,,,,
Osaühing Aqris Development,,,,,,,,,,
Aquila Baltic OÜ,ilonajuniversal@inbox.lv,,"Pärnu maakond, Pärnu linn, Pärnu linn, Papiniidu tn 5, 80010
                            ",,,,,,,
ArcticService OÜ,,,,,,,,,,
ARGEST Design OÜ,argestdsgn@gmail.com,,"Järva maakond, Türi vald, Türi linn, Uus tn 7, 72215
                            ",,,,,,,
