Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
100G Creative Education OÜ,Annika.stog@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 171-29, 12615
                            ",,,,,,,
academya education OÜ,m.y.yaseen@outlook.com,,"Riyadh, Al Rawdah, abi aldardaa street, building no 3275, unit no : 3279, 13213, Saudi Arabia
                            ",,,,,,,
ACHIVR Educational Technologies OÜ,achivroffice@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 3 // 5 // 7, 10145
                            ",,,,,,,
Adinagaare OÜ,,,,,,,,,,
ALLETS EDUCATION OÜ,hello@alletseducation.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 62, 10115
                            ",,,,,,,
Aqua Image OÜ,,,,,,,,,,
AReducation OÜ,Estonianresidency@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 3 // 5 // 7, 10145
                            ",,,,,,,
Osaühing Art of Living Education,info@artofliving.ee,+372 58119138,"Harju maakond, Tallinn, Haabersti linnaosa, Viige tn 26, 13516
                            ",,,,,,,
"Mittetulundusühing ""Baltic Council for International Education""",info@balticcouncil.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7, 10117
                            ",,,,,,,
Baltic Education Center OÜ,admin@balticec.com,+51 952388495,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Baltic Education Service OÜ,oleg@oleg.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 13-121, 13520
                            ",,,,,,,
Bluebluesky Sports Management OÜ,,,,,,,,,,
BLUNK Education OÜ,blunk.education@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Ida tee 17, 12112
                            ",,,,,,,
Boston Education Company OÜ,,,,,,,,,,
Brainy Education OÜ,heinarkull1995@gmail.com,+372 55960098,"Tartu maakond, Tartu linn, Tartu linn, Kaunase pst 59, 50706
                            ",,,,,,,
Building Capacity Education Services OÜ,aubrey@curran.nl,+817 043031210,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
China Europe Education Service OÜ,ZHUHANDONG0316@OUTLOOK.DE,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7, 10141
                            ",,,,,,,
Mittetulundusühing Citrus Education,e.olenin@gmail.com,+372 55637901,"Ida-Viru maakond, Narva linn, Koidula tn 3-4, 20307
                            ",,,,,,,
Claar Education OÜ,kati@kating.ee,,"Võru maakond, Rõuge vald, Rõuge alevik, Viitina mnt 3, 66201
                            ",,,,,,,
Clanbeat Education OÜ,kadri@clanbeat.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tina tn 26, 10126
                            ",,,,,,,
Mittetulundusühing Creativity Lab Academy,ragnar.siil@gmail.com,+372 5140830,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Laevastiku tn 3, 10313
                            ",,,,,,,
CROWD EDUCATION OÜ,crowdedu1@gmail.com,,"Järva maakond, Türi vald, Laupa küla, Liiva, 72102
                            ",,,,,,,
Daniel John Carter: Dance Educational Solutions,dan@danceeducationalsolutions.com,+372 56480630,"Pärnu maakond, Pärnu linn, Paikuse alev, Paide mnt 19, 86602
                            ",,,,,,,
dental education OÜ,abramovich.evgeni@gmail.com,+372 58112378,"Ida-Viru maakond, Sillamäe linn, Mere pst 2, 40231
                            ",,,,,,,
osaühing Digital Education Development,,,,,,,,,,
DIGITAL-EDUCATIONS OÜ,th.meriaux@gmail.com,+336 08109432,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
MTÜ Diversity Educational Center,d4englishlanguagelearners@gmail.com,+372 58910356,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 179-8, 13415
                            ",,,,,,,
