Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Andja Electricity OÜ,alex@eestiema.ee,+372 5016655,"Lääne-Viru maakond, Kadrina vald, Ridaküla, Andja, 45229
                            ",,,,,,,
DG Electricity OÜ,info@vesiir.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 141, 11314
                            ",,,,,,,
osaühing Electricity,kling.klang@mail.ee,+372 5108423,"Saare maakond, Saaremaa vald, Kuressaare linn, Tallinna tn 30, 93816
                            ",,,,,,,
Osaühing Merko Investments,group@merko.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Järvevana tee 9g, 11314
                            ",,,,,,,
MTM Electricity OÜ,,,,,,,,,,
OÜ R&R Electricity,roeselg@gmail.com,,"Saare maakond, Saaremaa vald, Kuressaare linn, Kirde tn 24, 93815
                            ",,,,,,,
TRUKI VELLET GROUP OÜ,,,,,,,,,,
TV Electricity OÜ,tvelectricity@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Liipri tn 1, 10917
                            ",,,,,,,
Works with electricity WWE OÜ,info@wweou.ee,,"Ida-Viru maakond, Kohtla-Järve linn, Sompa linnaosa, Humala tn 3, 30722
                            ",,,,,,,
Works with electricity WWE OÜ,,,,,,,,,,
