Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
A&BELECTRONIC OÜ,esg-estonia16@eservicesgroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
Addmanuelectronics OÜ,,,,,,,,,,
AEK ELECTRONICS OÜ,aa@aekelectronics.com,,"Harju maakond, Rae vald, Rae küla, Dolomiidi tee 2/2-10, 75310
                            ",,,,,,,
Algorithm electronics OÜ,algorithm.electronics.ee@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pallasti tn 31-18, 11416
                            ",,,,,,,
osaühing ALPHA JA BETTA ELECTRONICS,veksha1@hot.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 28-20, 10115
                            ",,,,,,,
Alpina Electronics OÜ,tarvo@alpina.ee,+372 53460137,"Tartu maakond, Tartu vald, Äksi alevik, Karjamõisa tee 12, 60543
                            ",,,,,,,
Alsedema OÜ,vasandzei@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Virbi tn 20-60, 13629
                            ",,,,,,,
Osaühing ARGO ELECTRONICS,oleg@argo.ee,,"Ida-Viru maakond, Narva linn, A. Puškini tn 10, 20308
                            ",,,,,,,
Arrow Electronics Estonia OÜ,estonia@arroweurope.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Sõpruse pst 145, 13425
                            ",,,,,,,
Osaühing Asko Electronic,kaupo.asko@gmail.com,+372 5105175,"Pärnu maakond, Pärnu linn, Pärnu linn, Laine tn 4, 80010
                            ",,,,,,,
Astrec Baltic OÜ,astrec@astrec.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Betooni tn 1, 13619
                            ",,,,,,,
Baltic Electronics OÜ,,,,,,,,,,
TÜ Baltic Electronic Sports,,,,,,,,,,
Beets Blu Electronics OÜ,beetsblu@gmail.com,+372 5027481,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8-214a, 10143
                            ",,,,,,,
Best Car Deals OÜ,investeeri24@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 84, 10112
                            ",,,,,,,
Buildwell Service OÜ,kaspar@buildwell.ee,,"Lääne maakond, Lääne-Nigula vald, Oru küla, Karli
                            ",,,,,,,
Caribalt Electronic Equipment OÜ,vp@caribalt.com,+420 702180254,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302, 12915
                            ",,,,,,,
OÜ Clifton Electronic,andres.redi@gmail.com,+372 5207981,"Tartu maakond, Tartu linn, Tartu linn, Vanemuise tn 64-11, 50410
                            ",,,,,,,
aktsiaselts Clifton Electronics Components,,,,,,,,,,
Consonant Electronics OÜ,subrata.ghosh@consonant-electronics.com,+372 53955512,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 22-5, 10116
                            ",,,,,,,
