Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1st Connect Energy Services OÜ,tim.talabi@assogasuk.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
#265 ENERGYUNIT OÜ,hellu@hellu.fi,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uus-Sadama tn 21, 10120
                            ",,,,,,,
3d Energy Service OÜ,ropeaccess.estonia@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pikri tn 10-4, 13624
                            ",,,,,,,
3ENERGY GROUP OÜ,reet@oli.organic,+372 56645579,"Harju maakond, Tallinn, Kesklinna linnaosa, Sulevimägi 4-30, 10123
                            ",,,,,,,
4Nature Energy Ltd OÜ,mika.arpiainen@4nature.fi,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uus-Sadama tn 21-303, 10120
                            ",,,,,,,
A7 Energy OÜ,energya7.yy@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kopli tn 98 // Uus-Maleva tn 10, 11711
                            ",,,,,,,
AAE Energy OÜ,,,,,,,,,,
Adan Energy OÜ,adan.energy.baltic@gmail.com,+372 58064464,"Harju maakond, Tallinn, Mustamäe linnaosa, Akadeemia tee 5, 12616
                            ",,,,,,,
AdBioenergy OÜ,didzis.palejs@adap.lv,,"Harju maakond, Rae vald, Peetri alevik, Läike tee 2, 75312
                            ",,,,,,,
ADEPTE ENERGY OÜ,gregor@adepte.ee,+372 5032427,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 54, 10120
                            ",,,,,,,
A Energy 10 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 11 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 12 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 13 UÜ,energyterawatt@gmail.com,,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 14 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 15 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 16 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 17 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 18 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 19 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 1 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 20 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 2 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 3 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 4 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 5 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 6 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 8 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A Energy 9 UÜ,energyterawatt@gmail.com,+372 5289790,"Harju maakond, Viimsi vald, Haabneeme alevik, Vardi tee 5, 74001
                            ",,,,,,,
A+Energy OÜ,katerina75@hot.ee,+372 56454667,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Ristiku tn 85-6, 10318
                            ",,,,,,,
Aenergy OÜ,ultraenergia@gmail.com,+372 56602517,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 68-45, 13512
                            ",,,,,,,
Afforda Energy OÜ,,,,,,,,,,
AGD Energy Group OÜ,agdenergygroup@gmail.com,+358 405639563,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Staapli tn 8-12, 10415
                            ",,,,,,,
AgrosteelEnergy OÜ,rafalskrzypski@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
Aida Energy OÜ,merle.kiv@gmail.com,+372 5242002,"Võru maakond, Rõuge vald, Handimiku küla, Tehnika tn 4c, 66213
                            ",,,,,,,
AIM resource & energy OÜ,office@magrat.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kai tn 1-5M, 10111
                            ",,,,,,,
Osaühing AirEnergy,,,,,,,,,,
Airstream FreeEnergy OÜ,,,,,,,,,,
AIVA TECHNOLOGIES OÜ,najathsl@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 35-1, 12612
                            ",,,,,,,
Aliance Group Energy OÜ,,,,,,,,,,
AllSpark Energy 1 UÜ,energy@allspark.ee,+372 5081088,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
AllSpark Energy 2 UÜ,energy@allspark.ee,+372 5081088,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
AllSpark Energy 3 UÜ,energy@allspark.ee,+372 5081088,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
AllSpark Energy 4 UÜ,energy@allspark.ee,+372 5081088,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
AllSpark Energy 5 UÜ,energy@allspark.ee,+372 5081088,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
AllSpark Energy OÜ,energy@allspark.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
Altare Energy OÜ,,,,,,,,,,
ALTENERGY OÜ,info@altenergy.ee,+372 57777764,"Harju maakond, Tallinn, Kesklinna linnaosa, Türi tn 10d, 11313
                            ",,,,,,,
OÜ Alternative Energy,,,,,,,,,,
ALTERNATIVE ENERGY TECHNOLOGY OÜ,ami5@list.ru,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 58-25, 10120
                            ",,,,,,,
Altmer Energy OÜ,info@altmerenergy.eu,+372 58550010,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 63, 10913
                            ",,,,,,,
AM-Energy OÜ,roosmarko@gmail.com,,"Harju maakond, Viimsi vald, Randvere küla, Krati tee 21, 74016
                            ",,,,,,,
AM Energy Solutions OÜ,energialahendused@gmail.com,+372 56630674,"Harju maakond, Tallinn, Lasnamäe linnaosa, Betooni tn 1b, 13816
                            ",,,,,,,
AM ENERGY SYSTEMS OÜ,Elektrodriver@mail.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 23-119, 13611
                            ",,,,,,,
Angora Energy OÜ,,,,,,,,,,
Anitra-Energy OÜ,14614272@eesti.ee,+44 7861767979,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2-1002, 10138
                            ",,,,,,,
