Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
2K Entertainment Agency OÜ,info@kollanekompass.ee,+372 56918932,"Harju maakond, Tallinn, Kesklinna linnaosa, C. R. Jakobsoni tn 17-62, 10128
                            ",,,,,,,
2S Entertainment OÜ,,,,,,,,,,
4 Leaf Clover Entertainment OÜ,contact@fifonthebeat.com,+372 56951242,"Harju maakond, Tallinn, Kristiine linnaosa, Tulika põik 4, 10613
                            ",,,,,,,
ABEntertainment OÜ,karmo@abcatering.ee,,"Harju maakond, Saku vald, Üksnurme küla, Talve tee 29, 75513
                            ",,,,,,,
Above Zound Entertainment OÜ,,,,,,,,,,
OÜ ACD ENTERTAINMENT,sergei.malosev@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Mõisavahe tn 31-25, 50707
                            ",,,,,,,
Achtung Entertainment OÜ,achtung@achtung.ee,,"Harju maakond, Saue vald, Laagri alevik, Vanasilla tn 1, 76401
                            ",,,,,,,
Acoustic Entertainment MTÜ,viasensus@mail.ru,+372 5528465,"Lääne-Viru maakond, Viru-Nigula vald, Kunda linn, Koidu tn 81-27, 44108
                            ",,,,,,,
Ainmarh Entertainment OÜ,,,,,,,,,,
OÜ Alestprojekt,alestcompany@gmail.com,+372 53840090,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 130, 50411
                            ",,,,,,,
AS Alexela Entertainment,,,,,,,,,,
osaühing Amix Entertainment,,,,,,,,,,
Anna Igoseva Entertainment,,,,,,,,,,
Anna Igoševa Entertainment,,,,,,,,,,
Apex Entertainment OÜ,,,,,,,,,,
Apo Tours & Entertainment OÜ,polina@rusturizm.org,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pae tn 21, 11415
                            ",,,,,,,
Osaühing A&R Consultants,andr_assor@yahoo.com,+372 5536202,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Valgevase tn 9b/1-15, 10414
                            ",,,,,,,
Osaühing Artemis Souvlaki,marju.tasso@gmail.com,+372 5012219,"Harju maakond, Tallinn, Lasnamäe linnaosa, Virbi tn 4, 13629
                            ",,,,,,,
Art Music Entertainment Estonia OÜ,,,,,,,,,,
ASF Entertainment OÜ,,,,,,,,,,
AT GLOBAL ENTERTAINMENT GROUP OÜ,alvartiisler1@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 18-42, 13511
                            ",,,,,,,
Mittetulundusühing Audru Entertainment,,,,,,,,,,
Balanced Entertainment OÜ,,,,,,,,,,
Baltic EA OÜ,,,,,,,,,,
OÜ Baltic Entertainment Group,,,,,,,,,,
Osaühing Baltic Film Entertainment,,,,,,,,,,
Baltic Rides Entertainment OÜ,eurolunapark@gmail.com,+371 26879330,"Ida-Viru maakond, Narva linn, Kreenholmi tn 39v/1, 20203
                            ",,,,,,,
BALTIC VA ENTERTAINMENT GROUP OÜ,baltic.clean360@gmail.com,+372 56889223,"Harju maakond, Maardu linn, Nurga tn 4-64, 74113
                            ",,,,,,,
Barefoot Entertainment Group osaühing,Palling.kalle@gmail.com,+372 56639005,"Järva maakond, Türi vald, Käru alevik, Viljandi mnt 21a, 79201
                            ",,,,,,,
BBQ Entertainment OÜ,enn@bbqentertainment.com,+372 5165581,"Harju maakond, Rae vald, Peetri alevik, Vägeva tee 8, 75312
                            ",,,,,,,
Best Entertainment OÜ,,,,,,,,,,
BGM ENTERTAINMENT Mittetulundusühing,emil@bgmmanagement.ee,+372 5031793,"Harju maakond, Tallinn, Lasnamäe linnaosa, Uuslinna tn 5-10, 11413
                            ",,,,,,,
