Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Areva Environmental Technologies OÜ,info@areva.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 6a-23, 10151
                            ",,,,,,,
CFEnvironmental Consulting OÜ,lottie.ell@gmail.com,+46 739573032,"Harju maakond, Tallinn, Kesklinna linnaosa, Lootsi tn 3a-66, 10151
                            ",,,,,,,
Crow Environmental Solutions OÜ,chrisuisk@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Masti tn 3-2, 11911
                            ",,,,,,,
EBT Environmental Solutions OÜ,leif.simonsson@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 7, 11415
                            ",,,,,,,
Environmental Assets Holding OÜ,,,,,,,,,,
Environmental Consulting OÜ,ap@entec.ee,+372 5019662,"Harju maakond, Tallinn, Pirita linnaosa, Lehise tn 12/4, 12012
                            ",,,,,,,
ENVIRONMENTAL INVESTMENTS OÜ,,,,,,,,,,
Environmental Machines & Products OÜ,,,,,,,,,,
Environmental Products Osaühing,tallbotransport@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302/3, 12915
                            ",,,,,,,
ENVIRONMENTAL SYSTEM OSAÜHING,,,,,,,,,,
Environmental Technology OÜ,iiro.sahramaa@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 23, 50110
                            ",,,,,,,
OÜ Estonian Environmental Engineering,mikk@reaalprojekt.ee,+372 5104521,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 27, 10141
                            ",,,,,,,
European Environmental Service Consulting AB Eesti filiaal,,,,,,,,,,
EWCA OÜ,,,,,,,,,,
Homefree Environmental OÜ,leena.lahi@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Vabaõhumuuseumi tee 4b-6, 13522
                            ",,,,,,,
Jelle Maurice L Devalez Environmental Consulting,jelle.devalez@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Aruküla tee 20-3, 51017
                            ",,,,,,,
Mahedam OÜ,info@ebf.ee,+372 56929323,"Pärnu maakond, Lääneranna vald, Kõmsi küla, Kõmsi tee 5, 90102
                            ",,,,,,,
Medical and Environmental Corporation of Trade Unions OÜ,vil849726@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
S&G Environmental Solutions OÜ,gennadiy.torressen@gmail.com,+372 5049916,"Harju maakond, Tallinn, Nõmme linnaosa, Taara tn 31, 10920
                            ",,,,,,,
Silteh Engineering OÜ,,,,,,,,,,
