Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1Estate Group OÜ,liblikalgis@gmail.com,+372 5204866,"Harju maakond, Tallinn, Lasnamäe linnaosa, Paasiku tn 14-73, 13916
                            ",,,,,,,
1Estate Kinnisvara OÜ,algis@1estate.ee,,"Harju maakond, Harku vald, Vääna-Jõesuu küla, Vesilinnu tee 31, 76909
                            ",,,,,,,
1RealEstate OÜ,,,,,,,,,,
22 Estate OÜ,22estateou@gmail.com,,"Hiiu maakond, Hiiumaa vald, Kärdla linn, Tiigi tn 25, 92411
                            ",,,,,,,
24h Real Estate OÜ,,,,,,,,,,
3D Web OÜ,raudene@gmail.com,+372 55969025,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kaera tn 7-5, 10318
                            ",,,,,,,
3K REAL ESTATE OÜ,kevinkalle.kell@gmail.com,+372 53058377,"Harju maakond, Tallinn, Kesklinna linnaosa, Herne tn 8, 10135
                            ",,,,,,,
4Estate OÜ,reinsaluremo@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Tungla tn 10-8, 10911
                            ",,,,,,,
7 Real Estate OÜ,kristjan.taht@gmail.com,+372 55606495,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 31, 10119
                            ",,,,,,,
A1 QUALITY PRODUCTION OÜ,a1quality.info@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Vesse põik 4b, 11415
                            ",,,,,,,
AAG Estate OÜ,,,,,,,,,,
AAK REAL ESTATE OÜ,,,,,,,,,,
AA real estate OÜ,alvis.adamovics@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-557, 10117
                            ",,,,,,,
OÜ Abagars Ehitus,,,,,,,,,,
Osaühing Admire Estate,,,,,,,,,,
A. D. Real Estate OÜ,,,,,,,,,,
Aeroestates OÜ,info@incorporate.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 158-88, 11317
                            ",,,,,,,
Aeryn Herschell Real Estate Eesti OÜ,,,,,,,,,,
A-Estate OÜ,andreas.phto@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Katleri tn 11-43, 13915
                            ",,,,,,,
Agenskalna 24 OÜ,,,,,,,,,,
AGK Realestate Group OÜ,,,,,,,,,,
AgroProt Real Estate OÜ,mikhail77777@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Piibri tn 9, 11217
                            ",,,,,,,
Ahtrimaa OÜ,,,,,,,,,,
AJ Restate-4 OÜ,info@restate.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Pärnu mnt 186, 11314
                            ",,,,,,,
A.Karlssons Roofpainting and Real Estate Service OÜ,,,,,,,,,,
Akatsuki Estate OÜ,devin.tahnas@gmail.com,,"Põlva maakond, Põlva vald, Põlva linn, Põllu põik 4, 63307
                            ",,,,,,,
AKK Estate TÜ,andrus.kallastu@eesti.ee,+372 58507452,"Pärnu maakond, Pärnu linn, Pärnu linn, Oja tn 134-12, 80047
                            ",,,,,,,
A&K Real Estate OÜ,ahtokollamets@gmail.com,,"Jõgeva maakond, Mustvee vald, Odivere küla, Viru, 49311
                            ",,,,,,,
Akso-Haus Tuumik OÜ,jana@reitsakas.ee,+372 56904086,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 8, 10151
                            ",,,,,,,
Osaühing Alentakia Real Estate,,,,,,,,,,
