Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
AA Financial Partners OÜ,info@raamatupidamisteenus.eu,+372 5584432,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13-27, 10151
                            ",,,,,,,
A&B Financial OÜ,anneli.liinamae@mail.ee,+372 5147488,"Tartu maakond, Tartu linn, Vorbuse küla, Jõerahu tn 23, 61412
                            ",,,,,,,
Accountax Financial Consulting OÜ,liana.pala@lpc.ee,+372 5130231,"Lääne-Viru maakond, Rakvere linn, Kibuvitsa tn 4-4, 44311
                            ",,,,,,,
ACQ Financial Processing Ltd OÜ,,,"1 korrus, Eurosure Tower, 5 Limassol Avenue, Nicosia linn,  2122, Cyprus
                            ",,,,,,,
Adex Financial Solutions OÜ,kaire@adex.ee,+372 5112573,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 83-606, 10115
                            ",,,,,,,
AE New Financial Technologies OÜ,umberto08@mail.ru,+375 291413858,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
OÜ Agro Financial,afestonia@gmail.com,+371 20223214,"Pärnu maakond, Häädemeeste vald, Võiste alevik, Kivi tn 2, 86501
                            ",,,,,,,
OÜ Aktiva Financial Solutions,,,,,,,,,,
Antinari Financial Group OÜ,s.popov@live.com,+372 5652816,"Harju maakond, Tallinn, Mustamäe linnaosa, Kiili tn 20-64, 13423
                            ",,,,,,,
Aperio Financial Consulting OÜ,,,,,,,,,,
Aqen financial technologies OÜ,admin@ua4bit.com,,,,,,,,,
Arcatea Hotels OÜ,info@arcatea.eu,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 32-205, 12915
                            ",,,,,,,
Osaühing Arkanar Financial,lunka@hot.ee,+372 5077506,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kalevipoja tn 11-74, 13615
                            ",,,,,,,
ARMX Financial Services OÜ,,,,,,,,,,
AseFinancials OÜ,,,,,,,,,,
ASHA Financial OÜ,info@ansonbaer.com,,,,,,,,,
Atocha financial services OÜ,,,,,,,,,,
Osaühing Audentos Financial,,,"Ida-Viru maakond, Toila vald, Voka alevik, Tiigi tn 9, 41701
                            ",,,,,,,
Axilliem OÜ,info@axilliem.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
BALMED GROUP OÜ,info@balmed.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Raua tn 36-17, 10120
                            ",,,,,,,
Baltic Financial Group OÜ,11708788@eesti.ee,+372 56208668,"Harju maakond, Tallinn, Kristiine linnaosa, Sõpruse pst 145, 13425
                            ",,,,,,,
Baltic Maritime Financial Consultant OÜ,aleksei.kargin@mail.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 21-265, 13611
                            ",,,,,,,
Basel Financial Group OÜ,ulokallas@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Raua tn 12-12, 10124
                            ",,,,,,,
Berger Financial Group OÜ,info@bergerfg.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
BHDigital Financial Services OÜ,r.figueroa.kim@outlook.com,,,,,,,,,
Bitall Financial Technology OÜ,,,,,,,,,,
Bittruck Financial Software OÜ,18600656002@163.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
BKV Financial AS,,,,,,,,,,
BlockBen Financial Services OÜ,peter.horvath@blockben.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Harju tn 6, 10130
                            ",,,,,,,
Bluebluesky Sports Management OÜ,,,,,,,,,,
Brave Capital Financial OÜ,info@bravecapital.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivalaia tn 33, 10118
                            ",,,,,,,
Brockstar Financial Svcs OÜ,lance@golanceparker.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Keldrimäe tn 9, 10113
                            ",,,,,,,
Bulldog Financial OÜ,ghislain@bulldog.financial,,"J.Parijslaan 30, Evergem, B-9940, Belgium
                            ",,,,,,,
Business Financial System OÜ,agnieszka.pawlik202@gmail.com,+48 723958367,"Warsaw, Poprawna 144K 2, 03984, Poland
                            ",,,,,,,
BuyZeDip Financial OÜ,guillaumebellone91@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pirita tee 28a, 10127
                            ",,,,,,,
Canadvance Financial Technology OÜ,fbell@canadabizloan.ca,,"Valga maakond, Otepää vald, Otepää linn, Mäe tn 19, 67403
                            ",,,,,,,
Cashero Financial OÜ,,,,,,,,,,
CC Financial OÜ,,,,,,,,,,
Mittetulundusühing Centre of Financial Accounting and Analysis,,,,,,,,,,
Chinchin Financial Solution OÜ,nikolairevutski@gmail.com,+372 55699104,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
City Financial Consult OÜ,cityfinconsult@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 67/3-39, 10321
                            ",,,,,,,
City Rentals OÜ,viljat@broadgatecapital.ee,,"Harju maakond, Saku vald, Saku alevik, Kanarbiku tn 6, 75501
                            ",,,,,,,
CNN Financial OÜ,shved.19731@rambler.ru,+372 56380096,"Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47, 11316
                            ",,,,,,,
Conrad Financial Services OÜ,hans.simonsson@preffekt.se,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 2-II korrus, 10151
                            ",,,,,,,
Creditstar Group AS,register@creditstargroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kai tn 4, 10111
                            ",,,,,,,
Croney Financial OÜ,office@croney.io,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
Cryptoverso Global Consulting OÜ,supporto@cryptoverso.xyz,+372 53071118,"Harju maakond, Tallinn, Kesklinna linnaosa, Uus tn 10, 10111
                            ",,,,,,,
DAN Financial Services OÜ,official@bit4all.io,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 6-219, 13619
                            ",,,,,,,
Dealer Pype OÜ,lonewolficonoclast@gmail.com,+372 53232543,,,,,,,,
Design Financial OÜ,,,,,,,,,,
Digital Financial System OÜ,kasyanenko@squilla.io,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
OÜ E.K.I. Financial,,,,,,,,,,
Energy and Financial Decisions OÜ,alexproskurov@ukr.net,,,,,,,,,
EnroEx Financial OÜ,enrocoin@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Ependesis Financial & Real Estate Services OÜ,,,,,,,,,,
Osaühing EstFinancial,estfinancial@hot.ee,+372 56656966,"Harju maakond, Saue vald, Laagri alevik, Kuuse tn 26-18, 76401
                            ",,,,,,,
Estonia Consulting Financial R1 OÜ,econsultingfr1@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 8-Vana Jahuladu, 10111
                            ",,,,,,,
OÜ Euro Financial Monitoring Bureau,,,,,,,,,,
European Bureau for Financial Management OÜ,,,,,,,,,,
European Financial OÜ,adamdavidneal@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pikk tn 7-17, 10123
                            ",,,,,,,
EuroTechFinancialAnalytics OÜ,davidgarcia_1191@outlook.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
Farsight Financial OÜ,,,,,,,,,,
FF Financial Group OÜ,jarno.edur@gmail.com,+372 5224556,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/2, 11415
                            ",,,,,,,
FHL Financial Solutions OÜ,mail@fintechlegal.center,,"Harju maakond, Tallinn, Kesklinna linnaosa, Valge tn 13, 114145
                            ",,,,,,,
Fidem Financial OÜ,crapdio365@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Finadvise OÜ,koresiijaanika@gmail.com,+372 56493996,"Harju maakond, Tallinn, Kesklinna linnaosa, Komeedi tn 5-5, 10122
                            ",,,,,,,
Financial Accounting Company OÜ,,,,,,,,,,
Financial Advisory Services OÜ,office@youroffice.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
Financial Aid Osaühing,ainika99@gmail.com,+372 5516185,"Harju maakond, Harku vald, Muraste küla, Muraste tee 5-32, 76905
                            ",,,,,,,
Financial Assistance OÜ,,,,,,,,,,
OÜ Financial Automation Solutions,tom.vanacker@unifiedpost.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 40a, 10138
                            ",,,,,,,
Financial Capital Fund OÜ,tiit.kurvits@fortikus.ee,,"Harju maakond, Rae vald, Jüri alevik, Aruküla tee 51, 75301
                            ",,,,,,,
FinancialCapital OÜ,,,,,,,,,,
FINANCIAL CENSEA OÜ,heli.lepiku@gmail.com,+372 5113154,"Põlva maakond, Põlva vald, Põlva linn, Piiri tn 12-55, 63304
                            ",,,,,,,
Financial Centre OÜ,info@ansonbaer.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1-7K, 10145
                            ",,,,,,,
Financial Concepts OÜ,,,,,,,,,,
Financial Consolidation OÜ,info@finza.es,,"Harju maakond, Jõelähtme vald, Kostivere alevik, Liukivi tn 6-60, 74204
                            ",,,,,,,
Financial Consulting Group OÜ,,,,,,,,,,
FINANCIAL CONSULTING OÜ,infofinancialconsultingou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7, 10117
                            ",,,,,,,
Financial Dexterity OÜ,,,,,,,,,,
Financial Facility OÜ,,,,,,,,,,
Financial Force OÜ,evelin.salu@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Vahtriku tee 1-18, 11912
                            ",,,,,,,
Financial Freedom OÜ,risto@3r.ee,+372 5218184,"Harju maakond, Saku vald, Üksnurme küla, Pärniku, 76404
                            ",,,,,,,
FINANCIAL GLOBAL PLATFORM OÜ,designposition.eu@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 41a-304, 10119
                            ",,,,,,,
Financial Innovative Technologies OÜ,andrius.daumantas@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
Financial Intelligence Inc OÜ,support@xolo.io,+387 603474977,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Financial Investment Company OÜ,votkhmezuri@gmail.com,,"12A, Vashlijvari 4th zone, Flat #47, Tbilisi, 0159, Georgia
                            ",,,,,,,
Financial License Holding OÜ,info@estoniacompany.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 6-219, 13619
                            ",,,,,,,
Financial LifeGroup OÜ,vadim_stepnov@mail.ru,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 56, 13619
                            ",,,,,,,
OÜ Financial Management Group,info@fmg-tallinn.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Lelle tn 24, 11318
                            ",,,,,,,
Financial Management Service OÜ,ade.mehikas@fms-estonia.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Lelle tn 24-45, 11318
                            ",,,,,,,
Financial Markets FX OÜ,,,,,,,,,,
Financial Marvellous OÜ,,,,,,,,,,
Financial mill OÜ,,,,,,,,,,
Financial Routine OÜ,ljuba.meier@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Tohu tn 10, 12013
                            ",,,,,,,
Financial Security Bureau OÜ,vahurvi@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Tihase tn 17/6, 50416
                            ",,,,,,,
UÜ Financial Selection,eurocompany100@hushmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 60, 10115
                            ",,,,,,,
Financial Service Company OÜ,,,,,,,,,,
Financial Services Bureau TÜ,salaasi@hotmail.com,+372 55518367,"Harju maakond, Maardu linn, Huulheina tee 26, 74117
                            ",,,,,,,
Financial Services OÜ,office@youroffice.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
Financial Shines OÜ,andrepaiste1@gmail.com,+372 58871169,"Harju maakond, Tallinn, Kristiine linnaosa, Sõjakooli tn 12-27, 11316
                            ",,,,,,,
Financial software development OÜ,julia@cie.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
Financial Solutions OÜ,helina@financial.ee,+372 56490233,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 112a, 10127
                            ",,,,,,,
financial speed OÜ,zougou.aymard@financial-speed.com,,,,,,,,,
Financial Support OÜ,martti.soidla@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Raua tn 16a-1, 10120
                            ",,,,,,,
Financial technology OÜ,heathermhuang@gmail.com,,"66 Shanghai St, Yau Ma Tei, Kowloon, 999077, Hong Kong
                            ",,,,,,,
Financial Trust Estonia OÜ,,,,,,,,,,
Financial UEX OÜ,2106681@mail.ru,+7911 2106681,,,,,,,,
Financial Vision OÜ,info@financialvision.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 32, 12915
                            ",,,,,,,
Financial Wisdom Invest OÜ,,,,,,,,,,
Financial Wizard OÜ,karola.kuuskmann@gmail.com,,"Harju maakond, Jõelähtme vald, Rebala küla, Silla tn 4, 74222
                            ",,,,,,,
Finvest Financial Consulting OÜ,,,,,,,,,,
Fortuna Services OÜ,,,,,,,,,,
F-Ray Financial Technologies OÜ,info@f-rayscoring.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 3, 10114
                            ",,,,,,,
Fulsoftware2000 OÜ,fulsoftware2000@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
GE Financial OÜ,ivo.piho88@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Geldex Financial Group OÜ,info@geldex.ee,+372 5577760,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
AKTSIASELTS GFAS,,,,,,,,,,
gFinancial OÜ,,,,,,,,,,
GF Maritime One OÜ,,,,,,,,,,
GRAFITY financial studio OÜ,,,,,,,,,,
Green Energy Financial Services OÜ,,,,,,,,,,
Haiba Financials OÜ,merje@haiba.ee,+372 56619665,"Harju maakond, Saue vald, Laagri alevik, Rebase tee 14, 76401
                            ",,,,,,,
HFS Callcenter Services OÜ,,,,,,,,,,
Ibinex Financials Estonia OÜ,agent@wisorgroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 2-399, 10119
                            ",,,,,,,
IBMC Financial Group OÜ,violeta.janjusic@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Endla tn 3-6104, 10122
                            ",,,,,,,
iMerge Financial Services OÜ,,,,,,,,,,
Incasso&Financial Service OÜ,,,,,,,,,,
"Independent monitoring organization ""Financial control"" MTÜ",dklexltd@gmail.com,+380 444515050,,,,,,,,
Industry Financial Services OÜ,info@ifs.ee,+372 5129340,"Harju maakond, Saku vald, Üksnurme küla, Haavasalu tee 3-1, 75513
                            ",,,,,,,
Osaühing InformConsult,,,,,,,,,,
Innovative Financials OÜ,,,,,,,,,,
International Financial Wallet OÜ,ifw@flc-mail.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Valge tn 13, 11415
                            ",,,,,,,
Intus Financial Services Oy Ltd Eesti filiaal,eesti@intus.fi,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 25, 10117
                            ",,,,,,,
Invergisa Estonia OÜ,,,,,,,,,,
Investment Financial Group OÜ,eledementjeva@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131-126, 12917
                            ",,,,,,,
JBC Financial Advisory OÜ,,,,,,,,,,
JF Financial Systems OÜ,annakrontals@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 6-219, 13619
                            ",,,,,,,
JNS Financials OÜ,kristi.janes@outlook.com,,"Tartu maakond, Tartu linn, Tartu linn, Kuldnoka tn 30, 50404
                            ",,,,,,,
OÜ Kaksi Financial,kaksi@kaksi.ee,+372 5012994,"Harju maakond, Tallinn, Kesklinna linnaosa, Pirita tee 20/4, 12011
                            ",,,,,,,
Osaühing Karp Financial Partners,,,,,,,,,,
KOLO FINANCIAL SERVICES OÜ,ds@paykolo.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-206, 10120
                            ",,,,,,,
Laurus Financial Partners OÜ,ruslan.hromenkov@mail.ee,+372 5080806,"Lääne-Viru maakond, Rakvere linn, Kungla tn 7-59, 44308
                            ",,,,,,,
