Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Aapo Pukk Gallery OÜ,aapopukk@gmail.com,+372 5031750,"Harju maakond, Saue vald, Saue linn, Kiviloo tn 42, 76505
                            ",,,,,,,
OÜ ABSURDUM ART GALLERY,art@artabsurd.com,+372 58190370,"Harju maakond, Tallinn, Kristiine linnaosa, Pirni tn 7b, 10617
                            ",,,,,,,
AFTERNOON beauty gallery OÜ,iratieva@mail.ru,+372 55620194,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 5, 10621
                            ",,,,,,,
Anriett's Beauty OÜ,anriett.paulus@gmail.com,+372 56626386,"Harju maakond, Rae vald, Uuesalu küla, Saarma tee 5, 75331
                            ",,,,,,,
ARTGALLERY 101 OÜ,vladimir.sokolov@mail.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, P. Pinna tn 17-53, 13615
                            ",,,,,,,
Auto Gallery OÜ,vik6565215@gmail.com,+372 56749779,"Harju maakond, Tallinn, Haabersti linnaosa, Vanakuu tn 13-10, 13516
                            ",,,,,,,
Bach Art Gallery OÜ,Helen.Tago@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tondi tn 1, 11313
                            ",,,,,,,
OÜ BALTIC ART,,,,,,,,,,
Cafe & Gallery OÜ,ingrid@designonly4you.com,+372 56650073,"Pärnu maakond, Pärnu linn, Pärnu linn, Roosi tn 10/1, 80014
                            ",,,,,,,
Capital Gallery OÜ,kirsti.rautio@outlook.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kentmanni tn 28-47, 10116
                            ",,,,,,,
Clean Gallery OÜ,monikaholm5@gmail.com,+372 5136444,"Harju maakond, Anija vald, Linnakse küla, Linnakse-Koolimaja, 75220
                            ",,,,,,,
Eve-Ly Gallery OÜ,evely.gallery@gmail.com,+372 56264632,"Harju maakond, Tallinn, Haabersti linnaosa, Sumba tn 5, 13516
                            ",,,,,,,
Fitzpatrickgallery OÜ,niall@fitzpatrickgallery.com,+372 54551699,"Saare maakond, Saaremaa vald, Kuressaare linn, Laugu tn 8, 93815
                            ",,,,,,,
Flegma Gallery OÜ.,hello@flegmagallery.com,+372 58141601,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Suur-Patarei tn 17-7, 10415
                            ",,,,,,,
Flowers Gallery OÜ,,,,,,,,,,
Fragrance Gallery OÜ,info@fragrance.ee,+372 58803838,"Harju maakond, Tallinn, Kesklinna linnaosa, Lembitu tn 8-122, 10114
                            ",,,,,,,
Gallery Baltic AS,,,,,,,,,,
Gallerycafe OÜ,info@gallerycafe.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 6, 10111
                            ",,,,,,,
Galleryehe OÜ,,,,,,,,,,
Gallery Gourmet OÜ,anna.kaasik@gmail.com,+372 56500201,"Harju maakond, Tallinn, Kesklinna linnaosa, Poldri tn 3, 10154
                            ",,,,,,,
OÜ Gallery Outline,peeter.must67@gmail.com,+372 53088828,"Harju maakond, Harku vald, Tiskre küla, Männi tee 7a, 76902
                            ",,,,,,,
Gallery OÜ,modistka@inbox.ru,+372 53472627,"Ida-Viru maakond, Narva linn, Rahu tn 12-36, 21003
                            ",,,,,,,
