Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Accord Healthcare AB Eesti filiaal,raivo_kurs@accord-healthcare.com,+372 5052112,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
Accord Healthcare OÜ,,,,,,,,,,
Amanda V Healthcare OÜ,,,,,,,,,,
Baltic Healthcare OÜ,,,,,,,,,,
BC Healthcare Group OÜ,oksana.jalakas@cranfeld.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 53a, 10138
                            ",,,,,,,
Bloodin Healthcare OÜ,contact@setgo.ee,,,,,,,,,
AS Bravo Healthcare,rpandey@bppl.co.in,,"Harju maakond, Viimsi vald, Haabneeme alevik, Paadi tee 3, 74001
                            ",,,,,,,
OÜ Celsius Healthcare,merle@celsius.ee,+372 5094522,"Harju maakond, Tallinn, Kesklinna linnaosa, Olevimägi 16, 10123
                            ",,,,,,,
Confido Healthcare Group OÜ,helin.tiido@confido.ee,+372 6299277,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 51, 10138
                            ",,,,,,,
Family Healthcare OÜ,info@dreams.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Astangu tn 56-66, 13519
                            ",,,,,,,
Forest Healthcare MTÜ,info@aaf-AG.ch,,"Harju maakond, Tallinn, Kristiine linnaosa, Tulika tn 31, 10615
                            ",,,,,,,
GE Healthcare Estonia OÜ,Peeter.Parn@ge.com,+372 5027390,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 46, 10621
                            ",,,,,,,
Healthcare Investment and Consulting International HICI OÜ,11536420@eesti.ee,+372 53153563,"Harju maakond, Tallinn, Kesklinna linnaosa, Väike-Ameerika tn 8-405, 10129
                            ",,,,,,,
HealthCare Investment OÜ,healthcareinvest@medsteg.ru,,,,,,,,,
Healthcare Resources International OÜ,,,,,,,,,,
Healthcare Solutions OÜ,frederikroeder@gmail.com,+372 53236621,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuvi tn 12/3-22, 10119
                            ",,,,,,,
Healthcare Target OÜ,office@implanttihoito.fi,,"Harju maakond, Tallinn, Kristiine linnaosa, Mehaanika tn 21, 10616
                            ",,,,,,,
Healthcare Technology OÜ,,,,,,,,,,
Healthcare UÜ,stefanilaurits@outlook.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Mingi tn 5-57, 13424
                            ",,,,,,,
Healthcare Ventures OÜ,hr.madsemil@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Hooli Healthcare OÜ,saurabh@cureassist.co,,"Harju maakond, Tallinn, Mustamäe linnaosa, Mäealuse tn 2/1, 12618
                            ",,,,,,,
J. Dunkan Healthcare International OÜ,,,,,,,,,,
Lords healthcare OÜ,piyush.sabharwal@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 8, 10151
                            ",,,,,,,
MAHHealthcare OÜ,gm@Kromatechnologies.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
MAKT Group OÜ,kenneth@makthealthcare.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 133, 12915
                            ",,,,,,,
NORDIC HEALTHCARE OÜ,,,,,,,,,,
Orifarm Healthcare OÜ,info@orifarm.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1, 10145
                            ",,,,,,,
Others OÜ,hi@joinothers.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Telliskivi tn 60a/5, 10412
                            ",,,,,,,
Promeda Healthcare OÜ,,,,,,,,,,
SD Healthcare OÜ,,,,,,,,,,
Siemens Healthcare Oy Eesti filiaal,healthcare.ee.team@siemens-healthineers.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 1, 11415
                            ",,,,,,,
Thrive Healthcare Solutions OÜ,g.w.bisset@gmail.com,,"Lääne maakond, Haapsalu linn, Haapsalu linn, Kastani tn 12-59, 90508
                            ",,,,,,,
MTÜ Ukrainian Healthcare Sustainability Platform,peeter.ross@smisinternational.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaarli pst 9-1a, 10119
                            ",,,,,,,
Uusim Healthcare Holding OÜ,uusim.healthcare@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Osmussaare tn 8, 13811
                            ",,,,,,,
Value-Based Healthcare Solutions OÜ,priit.eelmae@gmail.com,+372 53932020,"Tartu maakond, Kambja vald, Ülenurme alevik, Kasteheina tn 4, 61714
                            ",,,,,,,
