Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Agave Hospitality OÜ,,,,,,,,,,
Alliance Hospitality OÜ,mettecus@yandex.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivalaia tn 32-52, 10118
                            ",,,,,,,
Balt Hospitality OÜ,develop@balt-hospitality.com,+372 51961888,"Harju maakond, Tallinn, Kristiine linnaosa, Mooni tn 18, 10613
                            ",,,,,,,
Baltic Hospitality Group OÜ,info@balthos.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 139e/2-8, 11317
                            ",,,,,,,
BALTIC HOSPITALITY & RETAIL SYSTEMS OSAÜHING,bhrs@bhrs.info,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 18, 10145
                            ",,,,,,,
Centennial Hospitality OÜ,michael.pilkington@uhotelsgroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Endla tn 15, 10122
                            ",,,,,,,
OÜ EASY STAY HOSPITALITY GROUP,mall.kuurme@acconto.ee,+372 5290130,"Harju maakond, Tallinn, Kesklinna linnaosa, Toompuiestee 23, 10137
                            ",,,,,,,
Eesti Hospitality Group OÜ,nesmeev@yahoo.co.uk,+372 51998995,"Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Karja tn 17, 10148
                            ",,,,,,,
Finan Ventures OÜ,,,,,,,,,,
Global Hospitality Solutions OÜ,katrin@bhrs.info,+372 5073790,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 18, 10145
                            ",,,,,,,
Global Nomad Advisory Group OÜ,mark.khalife@gn-hospitality.com,+436 602273454,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Green Hospitality OÜ,kristi.laur@otepaagolf.com,+372 56239302,"Valga maakond, Otepää vald, Mäha küla, Saagjärve, 67409
                            ",,,,,,,
Guest Delight International OÜ,Info@gdiworldwide.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
Horse Hospitality OÜ,miamaet@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7b, 10915
                            ",,,,,,,
Hospitality Art OÜ,kristel@musu.ee,+372 58086433,"Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 484, 10915
                            ",,,,,,,
Hospitality eBusiness Strategies (HeBS Digital) OÜ,max@hebsdigital.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
Hospitality House Associates OÜ,team@hospitality-ha.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 67/1-13b, 10115
                            ",,,,,,,
Hospitality Innovation School Sihtasutus,,,,,,,,,,
Osaühing HOSPITALITY MANAGEMENT PARTNERS,11221402@eesti.ee,+372 50348880,"Harju maakond, Tallinn, Kristiine linnaosa, Räägu tn 14-26, 11311
                            ",,,,,,,
HospitalityMasters OÜ,lorrihaines@outlook.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-26, 10145
                            ",,,,,,,
Hospitality Solutions OÜ,kostadelmar22@gmail.com,+372 58805681,"Harju maakond, Tallinn, Nõmme linnaosa, Vääna tn 15-4, 11612
                            ",,,,,,,
HTML Digiter OÜ,neeme.kari@travel-service.ee,+372 5151620,"Harju maakond, Tallinn, Mustamäe linnaosa, Leiva tn 3, 12618
                            ",,,,,,,
Itellus OÜ,itellusfood@gmail.com,+372 53722999,"Harju maakond, Tallinn, Lasnamäe linnaosa, Betooni tn 6/1, 13619
                            ",,,,,,,
J&J Hospitality OÜ,jaana.juurma@gmail.com,,"Saare maakond, Saaremaa vald, Nasva alevik, Lahe tn 2a, 93872
                            ",,,,,,,
New Baltic Hospitality OÜ,katrin.vellesalu@gmail.com,+372 5042072,"Harju maakond, Raasiku vald, Kulli küla, Tuisu tee 3, 75205
                            ",,,,,,,
Olive Hospitality OÜ,paul.taylor@uhotelsgroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Endla tn 23, 10122
                            ",,,,,,,
Pine Tree Accounting OÜ,info@efinance.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pirita tee 26f-11, 12011
                            ",,,,,,,
Service Tehnology Hospitality OÜ,servtehhosp@mail.ru,,,,,,,,,
Serving Hospitality OÜ,sven.loondre@gmail.com,+372 5058629,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 16-28, 10917
                            ",,,,,,,
SK Hospitality OÜ,katre.kaarik@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Vanemuise tn 45, 51003
                            ",,,,,,,
Vihula Manor Hospitality Osaühing,info.vihula@uhotelsgroup.com,+372 5048199,"Lääne-Viru maakond, Haljala vald, Vihula küla, Vihula mõis, 45402
                            ",,,,,,,
WHEE Creative Hospitality OÜ,oscargomezgarrido@gmail.com,+549 1132101011,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
