Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Air Cargo Estonia OÜ,andres.matkur@ace.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepise tn 1, 11415
                            ",,,,,,,
Baltic Housing Group OÜ,,,,,,,,,,
Baltic Housing OÜ,kristen.rattasepp@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Särjesilma tn 7, 13516
                            ",,,,,,,
Blue Hippo OÜ,nigel.harrison@simecsystems.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Sinirebase tn 14, 11217
                            ",,,,,,,
CMS Consult & Logistic OÜ,,,,,,,,,,
Easy Housing OÜ,,,,,,,,,,
Eggera Housing OÜ,housing@bestinvest.ee,+372 5057665,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 14-29, 10111
                            ",,,,,,,
Osaühing EH-Housing,,,,,,,,,,
Ehitusfirma Feerum OÜ,info@rmpgrupp.eu,,"Tartu maakond, Tartu linn, Tartu linn, Turu tn 2, 51004
                            ",,,,,,,
Enugu Asata OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8-241c, 10143
                            ",,,,,,,
ESM Housing OÜ,,,,,,,,,,
Osaühing ESTIN Warehousing,kostishchina.g@redmond.company,+372 56695079,"Ida-Viru maakond, Narva linn, Kadastiku tn 39b, 21004
                            ",,,,,,,
Fashion & Housing Group OÜ,mikael@proonline.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Faxima Housing OÜ,,,,,,,,,,
OÜ HILTONHOUSING,,,,,,,,,,
Housing Estate OÜ,,,,,,,,,,
Housing OÜ,housing.oy@gmail.com,+372 56200398,"Harju maakond, Anija vald, Vikipalu küla, Aavoja tee 7, 74313
                            ",,,,,,,
OÜ Hranicar Dvorce,,,,,,,,,,
OÜ IONIC,indrek@ionic.ee,+372 58041980,"Harju maakond, Rae vald, Peetri alevik, Küti tee 37/3-11, 75312
                            ",,,,,,,
J&S Housing Services OÜ,,,,,,,,,,
Livonia Housing OÜ,valdeko@housing.ee,+372 5542242,"Tartu maakond, Kastre vald, Melliste küla, Mäe tee 10, 62318
                            ",,,,,,,
MORE Housing OÜ,,,,,,,,,,
M.T. Housing OÜ,marktaru@hotmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Näituse tn 5-1, 50409
                            ",,,,,,,
Aktsiaselts Olga Housing,,,,,,,,,,
OL-LA food & housing OÜ,,,,,,,,,,
OÜ PIHLAKA PÕLD,,,,,,,,,,
Poremecaja Njihovom OÜ,,,,,,,,,,
Proflex Media OÜ,,,,,,,,,,
Rataskaevu Housing Development Osaühing,,,,,,,,,,
RentalHousing OÜ,rentalhousing4@gmail.com,+372 56653931,"Lääne maakond, Haapsalu linn, Herjava küla, Papli tn 17, 90453
                            ",,,,,,,
RePre Housing OÜ,,,,,,,,,,
OÜ SCD Housing.,,,,,,,,,,
Stark Warehousing OÜ,info@starkwarehousing.ee,,"Harju maakond, Harku vald, Tutermaa küla, Meistri tee 5, 76617
                            ",,,,,,,
OÜ TallinnHousing,tallinnhousing2020@gmail.com,+372 51900265,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5-85, 10117
                            ",,,,,,,
Tophousing OÜ,tophousingou@gmail.com,+372 56086314,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Aru tn 19-7, 10318
                            ",,,,,,,
Uus Tuul OÜ,piret.salmistu@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Järvevana tee 3e-32, 10112
                            ",,,,,,,
Vertical Housing OÜ,anri@anri.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Raua tn 36-12, 10120
                            ",,,,,,,
Vi-Housing OÜ,viktoria.ossipova@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Alvari tn 18-62, 13627
                            ",,,,,,,
Wellbell Housing OÜ,Wellbellhousing@gmail.com,,"Viljandi maakond, Viljandi vald, Leemeti küla, Käära, 71122
                            ",,,,,,,
YIT EE Housing I OÜ,,,,,,,,,,
