Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1. IPTech OÜ,armands.sakne@ipt.lv,+371 26172645,"Tartu maakond, Tartu linn, Tartu linn, Kirsi tn 20, 50110
                            ",,,,,,,
Accon Industrial OÜ,info@accon.ee,,"Pärnu maakond, Pärnu linn, Pärnu linn, Suur-Jõe tn 71, 80042
                            ",,,,,,,
AlphaIndustrialGroup OÜ,alphaplusou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Alpine Industrial Inc OÜ,,,,,,,,,,
APA Industrial OÜ,,,,,,,,,,
Apex Industrial Solutions OÜ,denis.lysenko@apex-industrial.eu,+372 55517244,"Harju maakond, Tallinn, Kesklinna linnaosa, Terase tn 16-8, 10125
                            ",,,,,,,
Aquatrezz OÜ,aleksislaw@aleksislaw.ee,+372 5011749,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 5-207, 10616
                            ",,,,,,,
Argent&Industrial OÜ,,,,,,,,,,
Ariteh Industrial OÜ,verners.dobelis@gmail.com,+371 26492076,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
Arsenal Industrial OÜ,vanags.gints@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 25a/1, 11415
                            ",,,,,,,
Osaühing Artec Industrial,tiit.liiv@artecindustrial.com,,"Pärnu maakond, Lääneranna vald, Seli küla, Liiva, 90242
                            ",,,,,,,
Artois Industrial OÜ,,,,,,,,,,
Avasta Matkad OÜ,,,,,,,,,,
Baltic Industrial Consulting OÜ,,,,,,,,,,
Baltic Industrial Machinery OÜ,,,,,,,,,,
Baltic Industrial Monomers OÜ,BIMonomers@gmail.com,,"Ida-Viru maakond, Narva linn, Kadastiku tn 45b, 21004
                            ",,,,,,,
Baltic Industrial OÜ,welcome@balticindustrial.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kopli tn 35b/1, 10412
                            ",,,,,,,
Balticum Industrial Consulting Group OÜ,alexander@baltisk.net,,"Harju maakond, Maardu linn, Lutserni tee 11, 74117
                            ",,,,,,,
Osaühing BALTWEST INDUSTRIAL,,,,,,,,,,
osaühing BCA Autovaruosad,,,,,,,,,,
Beeindustrial Osaühing,devrimkarakoyun@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Blockchain Industrial Alliance OÜ,aleksdor84@gmail.com,,,,,,,,,
Buchen Industrial Services Baltikum OÜ,tallinn@buchen.net,+372 5041796,"Harju maakond, Rae vald, Soodevahe küla, Kapteni tee 5, 75322
                            ",,,,,,,
BusinessSupport OÜ,,,,,,,,,,
cody industrials charter OÜ,,,,,,,,,,
COMUL INDUSTRIAL OÜ,,,,,,,,,,
CONCORD INDUSTRIAL PROJECT OÜ,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 5, 10151
                            ",,,,,,,
Danep OÜ,epishevd@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Läänemere tee 3-100, 13913
                            ",,,,,,,
Digiumindustrials OÜ,,,,,,,,,,
Dynomax Industrial OÜ,info@dynomax.ee,+372 5094142,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Laevastiku tn 3c, 10313
                            ",,,,,,,
East Industrial Consulting OÜ,andres.labi@gmail.com,+372 5126272,"Ida-Viru maakond, Narva linn, Kadastiku tn 45b, 21004
                            ",,,,,,,
Endeavor Industrial Services OÜ,contact@endeavor-industrial-services.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
ESTLAT Builders osaühing,,,,,,,,,,
ESTLAT Maintenance osaühing,,,,,,,,,,
osaühing ESTLAT Partners,,,,,,,,,,
ESTLAT Services osaühing,,,,,,,,,,
Estonian Industrial Metals OÜ,ukbestinvest@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 124-60, 13513
                            ",,,,,,,
FAGEL INDUSTRIAL OÜ,,,,,,,,,,
FERRMIX Industrial Services OÜ,fisferrmix@gmail.com,,"Harju maakond, Viimsi vald, Haabneeme alevik, Kase tee 4-2, 74001
                            ",,,,,,,
FGL INDUSTRIAL OÜ,,,,,,,,,,
Finland Estonia Sales Industrial OÜ,,,,,,,,,,
OÜ FIRST LOGISTIC INDUSTRIAL COMPANY,,,,,,,,,,
OÜ Frog Industrial Design,,,,,,,,,,
Garda Industrial OÜ,mail@gardatools.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Gaznet Industrial Osaühing,info@gaztrade.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 44a, 10621
                            ",,,,,,,
Glaudius industrial Osaühing,,,,,,,,,,
