Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
AAS BTA Baltic Insurance Company Eesti filiaal,info@bta.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2b, 11415
                            ",,,,,,,
OÜ Aon Eesti Kindlustusmaakler,,,,,,,,,,
AV Partnerid OÜ,,,,,,,,,,
Balcia Insurance SE Eesti filiaal,info@balcia.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 10, 11415
                            ",,,,,,,
OÜ Baltic Group Insurance Brokers,bgioy@hot.ee,+372 5157744,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lennujaama tee 2, 11101
                            ",,,,,,,
Aktsiaselts BALTIC INSURANCE GROUP,,,,,,,,,,
Baltic Maritime Insurance Agency OÜ,,,,,,,,,,
Baltic Maritime Insurance Brokers OÜ,,,,,,,,,,
Business Information Systems OÜ,a.c.lohmus@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 16, 10141
                            ",,,,,,,
Cachet Insurance Broker OÜ,hedi@cachet.me,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 64, 10134
                            ",,,,,,,
Cavitas dental insurance broker OÜ,info@cavitas.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2-1002, 10138
                            ",,,,,,,
Compensa Life Vienna Insurance Group SE,info@compensalife.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 63/2, 10120
                            ",,,,,,,
"Compensa Vienna Insurance Group, ADB Eesti filiaal",seesam@seesam.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1, 10145
                            ",,,,,,,
Digital Insurance Broker OÜ,digital.insurance.broker@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 110, 13517
                            ",,,,,,,
Doga insurance & information technologies OÜ,veyselkahveciler@gmail.com,+90 5050636363,"Harju maakond, Tallinn, Kesklinna linnaosa, Tina tn 21, 10126
                            ",,,,,,,
ERGO Insurance SE,info@ergo.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2/1, 10138
                            ",,,,,,,
ERGO Life Insurance SE Eesti filiaal,infoelu@ergo.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2/1, 10138
                            ",,,,,,,
Euro Globe Insurance Brokers OÜ,gm@euroglobe.co,,,,,,,,,
Osaühing EXTENDO INSURANCE,kaido@famulus.ee,+372 5038324,"Harju maakond, Rae vald, Peetri alevik, Peetri tee 1-1, 75312
                            ",,,,,,,
Fennia Mutual Insurance Company Eesti filiaal,,,,,,,,,,
OÜ GARMAX GROUP,,,,,,,,,,
Global Technical Reinsurance Technology Management OÜ,,,,,,,,,,
"Herrmann, Huebner & Partner Insurance Broker OÜ",rik.2023.contact@mail.hhp.ee,,"Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 388b, 11612
                            ",,,,,,,
If P&C Insurance AS,info@if.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
If P&C Insurance Ltd (publ) Eesti filiaal,niclas.forsbergif@if.se,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 8a, 11415
                            ",,,,,,,
Imperium insurance broker OÜ,Timo.semjonov@gmail.com,+372 5288993,"Harju maakond, Viimsi vald, Pärnamäe küla, Soosepa tee 49, 74020
                            ",,,,,,,
