Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1Office Legal OÜ,,,,,,,,,,
Aasa Legal Services OÜ,aasat@hot.ee,+372 53338325,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaupmehe tn 4-35, 10114
                            ",,,,,,,
AB Legal Office OÜ,info@ansonbaer.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kentmanni tn 4-2K, 10116
                            ",,,,,,,
ADB Legal Services OÜ,dzessika.bogatsova@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Kvartsliiva tn 3, 11216
                            ",,,,,,,
Adectus Invest OÜ,hello@adectus.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Adectus Legal OÜ,hello@adectus.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Adrio Legal Services OÜ,info@adrio.ee,+372 5093337,"Harju maakond, Tallinn, Kesklinna linnaosa, Luha tn 20-11, 10131
                            ",,,,,,,
Advocatus Legalisation Office OÜ,,,,,,,,,,
Advokaadibüroo Bjork Legal OÜ,kaimo.rappo@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 18, 10141
                            ",,,,,,,
Advokaadibüroo CORE Legal OÜ,info@corelegal.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 83, 10115
                            ",,,,,,,
OÜ Advokaadibüroo Deca Legal,mihkelk@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 30, 10145
                            ",,,,,,,
Advokaadibüroo EMERALDLEGAL OÜ,info@emerald.legal,+372 56601177,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 6a, 10151
                            ",,,,,,,
Advokaadibüroo K&S Legal OÜ,info@kslegal.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rüütli tn 24, 10130
                            ",,,,,,,
OÜ Advokaadibüroo Legalia,rapla@legalia.ee,+372 5155304,"Rapla maakond, Rapla vald, Rapla linn, Sauna tn 10, 79515
                            ",,,,,,,
Advokaadibüroo Legalt OÜ,info@legalt.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 6-70, 10153
                            ",,,,,,,
Advokaadibüroo Loor OÜ,kaido.loor@abloor.ee,+372 56465758,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 36-71, 10145
                            ",,,,,,,
Advokaadibüroo MOSS Legal OÜ,info@moss.legal,+372 5277506,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 25, 10116
                            ",,,,,,,
Advokaadibüroo Nordx Legal OÜ,info@nordx.com,+372 5131700,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 55, 11313
                            ",,,,,,,
Advokaadibüroo PricewaterhouseCoopers Legal OÜ,ee_legal@pwc.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 1, 10116
                            ",,,,,,,
Advokaadibüroo Primus OÜ,,,,,,,,,,
Advokaadibüroo Pürn & Tubin OÜ,ab@purntubin.ee,+372 58378827,"Tartu maakond, Tartu linn, Tartu linn, Ülikooli tn 2a, 51003
                            ",,,,,,,
Advokaadibüroo Syndicate Legal OÜ,riistan@gmail.com,+372 5170960,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Toompuiestee 33a, 10149
                            ",,,,,,,
AK Legal Consult UÜ,andreskees@hotmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Vindi tn 13-8, 11315
                            ",,,,,,,
Albermann OÜ,kaupo.koppelmann@gmail.com,+372 56237332,"Hiiu maakond, Hiiumaa vald, Kaasiku küla, Hobuseraua, 92123
                            ",,,,,,,
Alfa legal OÜ,9200456@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kivila tn 21-101, 13918
                            ",,,,,,,
AL Legal OÜ,annabel@allegal.ee,,"Viljandi maakond, Viljandi linn, Reinu tee 5, 71011
                            ",,,,,,,
Almaz Legal Group OÜ,,,,,,,,,,
OÜ Alta Legal,,,,,,,,,,
OÜ Ambergate Legal,,,,,,,,,,
AM Legal & Investment OÜ,orabyadam@gmail.com,+372 56928414,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 87-74, 13416
                            ",,,,,,,
A&M Legal OÜ,maiuvislapuu@gmail.com,,"Võru maakond, Võru vald, Verijärve küla, Sireli, 65541
                            ",,,,,,,
Amstar Legal OÜ,amstar.legal.estonia@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 71, 11415
                            ",,,,,,,
ArmasLegal OÜ,lighthouselegalc@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 12, 10917
                            ",,,,,,,
ARS Sisustus Grupp OÜ,info@arssisustus.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 154, 11317
                            ",,,,,,,
ATL Legal OÜ,,,,,,,,,,
AVB Legal OÜ,info@avbservices.eu,+372 56200693,"Harju maakond, Harku vald, Tabasalu alevik, Sarapuu tn 19, 76901
                            ",,,,,,,
BABOR Legal OÜ,kaspar@aarenburg.ee,+372 5020944,"Harju maakond, Tallinn, Kesklinna linnaosa, Gonsiori tn 3-20, 10117
                            ",,,,,,,
OÜ Baltic Legal Advice,,,,,,,,,,
Baltic Legal Consulting OÜ,a.kulbacka@exchange-express.lv,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
Baltic Practice OÜ,k.vitolins@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, F. R. Kreutzwaldi tn 1, 10120
                            ",,,,,,,
UÜ Basic Legal,rahvaadvokaat@gmail.com,+372 53777522,"Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Pargi tn 25, 41537
                            ",,,,,,,
OÜ Bestbyg Group,bestbyg.nkou@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Supluse pst 1-402e, 11911
                            ",,,,,,,
OÜ Bluelake Legal,jyrgen.kirsis@gmail.com,,"Tartu maakond, Tartu linn, Vorbuse küla, Ala-Kivistiku, 61412
                            ",,,,,,,
