Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Osaühing 1M-Kredit Logistics,,,,,,,,,,
24/7 Logistics OÜ,logistics@rino.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302/3, 12915
                            ",,,,,,,
24Express Transport & Logistics OÜ,info@24express.eu,+372 53995288,"Järva maakond, Järva vald, Reinevere küla, Siili, 73507
                            ",,,,,,,
2J LOGISTICS OÜ,jasperjaaniste@hotmail.com,,"Harju maakond, Saku vald, Tänassilma küla, Vanasilla tn 81-4, 76406
                            ",,,,,,,
3D Logistic OÜ,svlad106@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 50/2, 13619
                            ",,,,,,,
3p logistics OÜ,dzh@3plogistics.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki põik 2, 12919
                            ",,,,,,,
40HC Logistics OÜ,laulallan@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Kassi tn 12, 12618
                            ",,,,,,,
4PL Logistics OÜ,elmer@maas.ee,+372 57502155,"Harju maakond, Tallinn, Nõmme linnaosa, Sambliku tn 5, 10912
                            ",,,,,,,
4U Logistics OÜ,info@4ul.ee,+372 5274524,"Harju maakond, Jõelähtme vald, Loo alevik, Niidu tee 6, 74201
                            ",,,,,,,
5G Logistics OÜ,,,,,,,,,,
6AE Logistic OÜ,andreascrivano@tiscali.it,,,,,,,,,
88 LOGISTICS OÜ,88logistics.estonia@gmail.com,,"Volyn, Lutsk, Rivnenska Street, 54, 43020, Ukraine
                            ",,,,,,,
A1 Logistics Solutions OÜ,info@cvcl.ee,+372 56882625,"Harju maakond, Lääne-Harju vald, Paldiski linn, Rae tn 36-5, 76806
                            ",,,,,,,
A1 Motorsport OÜ,,,,,,,,,,
OÜ AAA-Logistic,,,,,,,,,,
A & A Logistic Est OÜ,kim@aalogistic.eu,+371 26414474,"Pärnu maakond, Pärnu linn, Pärnu linn, Rüütli tn 2, 80011
                            ",,,,,,,
AARE LOGISTICS OÜ,,,,,,,,,,
Aatomik Logistics OÜ,aatomik@aatomik.com,,"Vahi 5 - 101, Tartu city, Tartu county, 50304
                            ",,,,,,,
A.A Translogistics OÜ,1truckest@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uue Maailma tn 21, 10131
                            ",,,,,,,
ABC Grunden Inkasso Group OÜ,,,,,,,,,,
ABC Logistics OÜ,na@abclogistics.eu,+372 53009023,"Harju maakond, Viimsi vald, Lubja küla, Paevälja tee 26-2, 74010
                            ",,,,,,,
ABECOM TRADE & LOGISTICS OÜ,,,,,,,,,,
Abestra Logistics OÜ,andresylemaantee@gmail.com,+372 53539058,"Harju maakond, Tallinn, Haabersti linnaosa, Vabaõhumuuseumi tee 2a-39, 13522
                            ",,,,,,,
ABSB -Translogistic OÜ,,,,,,,,,,
ABV Logistics OÜ,info@abvlogistics.eu,,"Harju maakond, Tallinn, Haabersti linnaosa, Oja tn 19, 13516
                            ",,,,,,,
ACE Logistics Estonia AS,katrin.tiidrus@ace.ee,,"Harju maakond, Rae vald, Lehmja küla, Rukki tee 12, 75306
                            ",,,,,,,
AS ACE Logistics Group,andres@ace.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepise tn 1, 11415
                            ",,,,,,,
ACG LOGISTICS OÜ,info@acglogistics.ee,+372 5010494,"Harju maakond, Saue vald, Vanamõisa küla, Suurevälja tee 17, 76505
                            ",,,,,,,
Adams Logistics OÜ,kari.alatorvinen@adamslogistics.fi,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Betooni tn 6, 11415
                            ",,,,,,,
ADB LOGISTICS OÜ,info.adblogistics@gmail.com,,"Harju maakond, Saku vald, Juuliku küla, Kuu tee 35, 75512
                            ",,,,,,,
Adebola David Ogunnaike Logistics,ogunnaikeadebola@gmail.com,+372 51988513,"Harju maakond, Tallinn, Mustamäe linnaosa, Keskuse tn 20-3, 12911
                            ",,,,,,,
ADI Logistics OÜ,adilogistics21@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Saani tn 2/2-26, 10149
                            ",,,,,,,
A.D.N. LOGISTICS OÜ,erik.muugamae@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pae tn 25-47, 11414
                            ",,,,,,,
ADR LOGISTIC OÜ,info@adrlogistic.com,+372 53731840,"Ida-Viru maakond, Narva-Jõesuu linn, Narva-Jõesuu linn, Karja tn 5-18, 29023
                            ",,,,,,,
Aerobalt Logistics OÜ,erko@parlament.ee,+372 55525454,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 142, 11317
                            ",,,,,,,
AGE LOGISTICS BALTIC OÜ,,,,,,,,,,
Agri Logistics OÜ,,,,,,,,,,
Agro Logistic Estonia OÜ,,,,,,,,,,
AHL Logistic OÜ,,,,,,,,,,
Aike Logistics OÜ,ulvia@aikelogistics.eu,+372 54353201,"Harju maakond, Tallinn, Kesklinna linnaosa, Lembitu tn 8-14, 10114
                            ",,,,,,,
Air Cargo Estonia OÜ,andres.matkur@ace.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepise tn 1, 11415
                            ",,,,,,,
Air Logistics OÜ,,,,,,,,,,
Aisance Logistic Osaühing,aisanceou@mail.ru,+372 55639823,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 90f, 13816
                            ",,,,,,,
AISMAN LOGISTICS OÜ,aisman756654@gmail.com,,"Rapla maakond, Kohila vald, Aespa alevik, Kvartsi tee 21, 79705
                            ",,,,,,,
AKS Logistics OÜ,karl@akslogistics.ee,,"Pärnu maakond, Häädemeeste vald, Uulu küla, Tamme, 86502
                            ",,,,,,,
Alesta Logistics OÜ,,,,,,,,,,
ALGEDI LOGISTICS OÜ,algedi.logistics@protonmail.com,+372 56900067,"Harju maakond, Tallinn, Haabersti linnaosa, Hansu tn 4/2-26, 13523
                            ",,,,,,,
Alien Logistics Solutions OÜ,info@tic.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Osmussaare tn 8, 13811
                            ",,,,,,,
Aljans Logistic Group OÜ,dex72@inbox.ru,,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 12, 10917
                            ",,,,,,,
All Good Logistics OÜ,freedomwheels@mail.ru,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 56, 13619
                            ",,,,,,,
ALLURE Logistics OÜ,info@dklex.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
Almara Logistics Services OÜ,alar.v.lohmus@gmail.com,,"Lääne-Viru maakond, Rakvere linn, Rägavere tee 44, 44312
                            ",,,,,,,
Almarine Logistic OÜ,,,,,,,,,,
A-Logistics OÜ,,,,,,,,,,
ALSEN LOGISTICS OÜ,alsentrans@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Vesse tn 4, 11415
                            ",,,,,,,
Alsir OÜ,alari@alsir.ee,,"Rapla maakond, Märjamaa vald, Märjamaa alev, Kullerkupu tn 8, 78302
                            ",,,,,,,
OÜ Alsped Logistics,,,,,,,,,,
Altires Consulting OÜ,altiresconsulting@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kanali tee 6, 10112
                            ",,,,,,,
AM&Co Logistics OÜ,,,,,,,,,,
OÜ AMG LOGISTICS,amg4404@gmail.com,+375 293570707,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Osaühing AMG LOGISTICS,,,,,,,,,,
Amics Logistics OÜ,amics.logistics@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Pune tee 12-18, 12015
                            ",,,,,,,
Amicum Logistics OÜ,amicum.consult@gmail.com,,"Rapla maakond, Rapla vald, Lipametsa küla, Saunasaare, 78406
                            ",,,,,,,
AMV Logistics OÜ,info@amvl.ee,,"Harju maakond, Viimsi vald, Lubja küla, Anijärve tee 17, 74010
                            ",,,,,,,
Anatoly Privalov - ANP Logistics,,,,,,,,,,
Andervall Trade OÜ,,,,,,,,,,
Anistar Logistic OÜ,maya0864@gmail.com,,,,,,,,,
ANMAX Logistics OÜ,anmaxlog@gmail.com,,"Harju maakond, Harku vald, Rannamõisa küla, Kõrgemäe tee 14, 76906
                            ",,,,,,,
Ansep Logistics OÜ,avp1470@mail.ru,+372 58190037,"Harju maakond, Tallinn, Lasnamäe linnaosa, Võru tn 8-66, 13612
                            ",,,,,,,
APEX Logistic OÜ,apex@apexlogistic.ee,+372 55560616,"Harju maakond, Rae vald, Soodevahe küla, Radisti tee 1, 75322
                            ",,,,,,,
OÜ APPLAFORD ES TRANSPORT & LOGISTICS,info@applaford.com,+372 5078397,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 4, 10616
                            ",,,,,,,
Applaford Logistics Centrum OÜ,,,,,,,,,,
OÜ Applaford Logistics Group,ivo@applaford.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 4, 10616
                            ",,,,,,,
AquaGreen OÜ,,,,,,,,,,
A.R.B. Logistic OÜ,info@ledkaup.ee,+372 58877874,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 56-311, 10314
                            ",,,,,,,
Arcatea Logistic & Road Management OÜ,info@arcatea.eu,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 32-205, 12915
                            ",,,,,,,
Areal Logistics OÜ,lauri@areal-logistics.com,,"Harju maakond, Saue vald, Laagri alevik, Nõlvaku tn 13-7, 76401
                            ",,,,,,,
Arex Logistics OÜ,info@arex.ee,+372 56666518,"Harju maakond, Tallinn, Lasnamäe linnaosa, Narva mnt 150, 13619
                            ",,,,,,,
A.R.G. Trans Logistic OÜ,ivanov@eduard.ee,+372 55658811,"Harju maakond, Tallinn, Kristiine linnaosa, Artelli tn 7, 10621
                            ",,,,,,,
Arijus Logistics OÜ,a.ramonas@arijus.lt,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sadama tn 17-309, 10111
                            ",,,,,,,
Ari Link Logistics OÜ,arilinklogistics@gmail.com,,,,,,,,,
Ariol Logistics OÜ,ariollogistics@gmail.com,+48 793237242,"Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47, 11316
                            ",,,,,,,
AR Logistic Osaühing,,,,,,,,,,
Arriva Profit Logistics OÜ,,,,,,,,,,
ARS-PRO Logistics OÜ,ilya.arspro@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Mäealuse tn 12, 12618
                            ",,,,,,,
Osaühing ARTEKS LOGISTICS,,,,,,,,,,
ART of LOGISTICS OÜ,rmp@lapineta.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Weizenbergi tn 18, 10150
                            ",,,,,,,
ARTSPED OÜ,info@artsped.eu,+372 5269677,"Harju maakond, Rae vald, Peetri alevik, Tammiku põik 1-14, 75312
                            ",,,,,,,
Aruküla Farm OÜ,,,,,,,,,,
ASAP Logistics OÜ,info@asap.ee,+372 5255163,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 25e, 50110
                            ",,,,,,,
Asperaamus Logistics OÜ,asperaamus@gmail.com,+372 5053242,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 90j, 13816
                            ",,,,,,,
Assatagai OÜ,,,,,,,,,,
ASTLOGISTICS OÜ,,,,,,,,,,
Astro Clima OÜ,info@astroclima.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Toompuiestee 21, 10137
                            ",,,,,,,
Aktsiaselts Astro Logistics,,,,,,,,,,
ASV Interlogistics OÜ,info@larssen.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
AZAD Logistics OÜ,azad345@mail.ru,+372 58899791,"Harju maakond, Maardu linn, Avar tn 3-38, 74112
                            ",,,,,,,
Azimuth Trucking & Logistics OÜ,mfilikian@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 25, 12915
                            ",,,,,,,
AZ Logistics Advisory OÜ,,,,,,,,,,
osaühing ATB Logistic,,,,,,,,,,
