Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Advanced Solutions and Manufacturing OÜ,elrenuir1@gmail.com,+372 55943419,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 136-59, 50415
                            ",,,,,,,
aiDEC manufacturing OÜ,garbarsv@yahoo.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Osaühing Baltic Media Manufacturing,,,,,,,,,,
Bobotov Kosjetic OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8, 10143
                            ",,,,,,,
osaühing Canadian Baltic Lumber Manufacturing,,,,,,,,,,
Cellnex Manufacturing OÜ,manufacturing@cellnex.eu,+372 55658795,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Sõjamäe tn 50a, 11415
                            ",,,,,,,
Cloud Manufacturing OÜ,taavikikas@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Raja tn 15, 12616
                            ",,,,,,,
FERUM MANUFACTURING OÜ,inna1964@ukr.net,,,,,,,,,
FREEN OÜ,gl@freen.com,+372 53741754,"Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Arenduse tn 6, 30328
                            ",,,,,,,
General Marketers and Manufacturing Representatives Se7ven OÜ,admin@se7ven.dk,,"Jerrishoer str. 4, Tarp, 24963, Germany
                            ",,,,,,,
Golden Gate Manufacturing OÜ,qiage1966@gmail.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Hommiku tn 5, 80011
                            ",,,,,,,
Green Clay Manufacturing OÜ,,,,,,,,,,
Heracleummanufacturing OÜ,snoitat@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Türi tn 3, 11313
                            ",,,,,,,
Inission Tallinn OÜ,info.tallinn@inission.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sõstramäe tn 8, 13816
                            ",,,,,,,
Osaühing J & J EURO MANUFACTURING SOLUTIONS,,,,,,,,,,
K.R&M.R Manufacturing OÜ,magnus@nutikelder.ee,,,,,,,,,
Lifa Air Manufacturing Europe OÜ,Yevhen.mekhedok@wellgio.com,+372 58434549,"Harju maakond, Tallinn, Lasnamäe linnaosa, Suur-Paala tn 19, 11415
                            ",,,,,,,
Manufacturing Consultancy OÜ,vjatseslav.koop@gmail.com,,"Harju maakond, Viimsi vald, Haabneeme alevik, Tammepõllu tee 17-15, 74001
                            ",,,,,,,
Manufacturing Process Consulting OÜ,manufact.process@outlook.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 1, 10111
                            ",,,,,,,
Mbirizi Kankubebe OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8, 10143
                            ",,,,,,,
Pallets Manufacturing International Company OÜ,director@avunion.com.ua,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-557, 10117
                            ",,,,,,,
PharmaEstica Manufacturing OÜ,zubarev.vadim@pharmaestica.ee,+372 56251197,"Harju maakond, Viimsi vald, Pringi küla, Vanapere tee 3, 74011
                            ",,,,,,,
Quality Label Manufacturing OÜ,arvo@qlm.ee,,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 48/1, 50410
                            ",,,,,,,
Sacheon Aerospace Manufacturing Ind. CO OÜ,tiittjulkin@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 3, 10151
                            ",,,,,,,
OÜ Saddles of Estonia (Manufacturing),,,,,,,,,,
SR Manufacturing OÜ,,,,,,,,,,
Suit Manufacturing OÜ,d.toukhcher@lgfgfashionhouse.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/2, 11415
                            ",,,,,,,
Suneco Manufacturing OÜ,,,,,,,,,,
Sweeets OÜ,sweeetsou@protonmail.com,+372 7122292,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 3 // 5 // 7, 10145
                            ",,,,,,,
The First Linen Trade and Manufacturing Company OÜ,linenworld.eu@gmail.com,+372 5151709,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 159-44, 12615
                            ",,,,,,,
TOOLCAP MANUFACTURING OÜ,aleksei.baranov@gmail.com,,"Harju maakond, Rae vald, Peetri alevik, Tuleviku tee 2, 75312
                            ",,,,,,,
OSAÜHING WESTAQUA MANUFACTURING,,,,,,,,,,
Usaldusühing Österby Holding,,,,,,,,,,
