Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
AG Mining Investments OÜ,steve.ampleford@aortagroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1, 10145
                            ",,,,,,,
BCG Mining OÜ,,,,,,,,,,
BetaMining OÜ,info@alphaumi.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 63/4, 10120
                            ",,,,,,,
Osaühing Centre of Mining Tehnika,,,,,,,,,,
Crypto Mining OÜ,alexeyivanov@mail.ee,+372 5259472,"Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Põhja allee 22-77, 30324
                            ",,,,,,,
Data Mining OÜ,,,,,,,,,,
EKG Mining OÜ,ekg.mining@gmail.com,+372 5151548,"Harju maakond, Rae vald, Järveküla, Vibu tee 8-1, 75304
                            ",,,,,,,
Energy Mining OÜ,b.garadh@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-652, 10117
                            ",,,,,,,
Mittetulundusühing Estonian Mining Waste Management Society,,,,,,,,,,
EURO MINING GROUP OÜ,,,,,,,,,,
EURO MINING HOLDING OÜ,stalmatskaja@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Kalda tn 7c, 11625
                            ",,,,,,,
EURO MINING OÜ,stalmatskaja@gmail.com,+372 55681990,"Harju maakond, Tallinn, Nõmme linnaosa, Kalda tn 7c, 11625
                            ",,,,,,,
Europian Mining and Energy Group OÜ,vevolovik@mail.ru,+372 55687472,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 14a-319-/3, 13619
                            ",,,,,,,
Future1Mining OÜ,kishore@future1exchange.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30, 12915
                            ",,,,,,,
GeoMining OÜ,kentashiro1960@gmail.com,,"Troppauer Str. 9, Oberursel (Taunus), 61440, Germany
                            ",,,,,,,
GoldMining OÜ,team@gmining.center,,,,,,,,,
Greenbit Mining OÜ,info@greenbit.energy,+372 5201660,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Suur-Patarei tn 13, 10415
                            ",,,,,,,
Helios Mining Systems OÜ,heliosminingsystems@gmail.com,,,,,,,,,
Hestia Mining Consulting OÜ,vestakp@gmail.com,+372 5533801,"Harju maakond, Saku vald, Juuliku küla, Murumäe tee 54, 75512
                            ",,,,,,,
IT MINING OÜ,aleksei.averbuhh@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Ümera tn 40-14, 13816
                            ",,,,,,,
J&R Mining Consulting OÜ,marisvoro@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Kotka tn 22, 11315
                            ",,,,,,,
J&R Mining OÜ,kajakaljund@gmail.com,+372 56298633,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 230-8, 13412
                            ",,,,,,,
KKMining OÜ,,,,,,,,,,
Lowhy Mining Management OÜ,info@lowhy.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaupmehe tn 7-48, 10114
                            ",,,,,,,
Mediamining OÜ,hello@mediamini.com,+372 5091832,"Harju maakond, Harku vald, Rannamõisa küla, Andruse põik 2-18, 76906
                            ",,,,,,,
Mining24 OÜ,,,,,,,,,,
Mining & Engineering OÜ,vdmitiy@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
MINING EQUIPMENT COMPANY OÜ,,,,,,,,,,
Mining & Industri Consulting Europe OÜ,,,,,,,,,,
OÜ Mining,Janis.jegi@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Toom-Kuninga tn 15-77, 10122
                            ",,,,,,,
Osaühing Mining,,,,,,,,,,
Mining Solutions OÜ,jevgenia.finans@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Salme tn 24-4, 10413
                            ",,,,,,,
Mining Stations OÜ,9385449@list.ru,,"Ida-Viru maakond, Narva linn, Tallinna mnt 9, 20303
                            ",,,,,,,
MiningTechnGroup OÜ,support@miningwatchdog.com,,,,,,,,,
Miningtehnika OÜ,crushercis@gmail.com,,,,,,,,,
Mining Workforce Mediation OÜ,,,,,,,,,,
Nordcoin Mining OÜ,hermes@brambat.com,+372 55520944,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-41, 10145
                            ",,,,,,,
Oyten Mining OÜ,,,,,,,,,,
P.A. Services OÜ,,,,,,,,,,
ProMiningGroup OÜ,info@promininggroup.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Mahtra tn 12-13, 13811
                            ",,,,,,,
ReDDragon Mining OÜ,sarj2000@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 26, 10126
                            ",,,,,,,
Rhino Mining OÜ,tallinn@comistar.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Keemia tn 4, 10616
                            ",,,,,,,
Rollman Group OÜ,victor.r@rollmanmining.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
RT Mining OÜ,info@iruring.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 328-37, 11611
                            ",,,,,,,
S&G Invest OÜ,sven.abrams@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 50-10, 10115
                            ",,,,,,,
TextMining Services OÜ,,,,,,,,,,
Mittetulundusühing Waste Mining,,,,,,,,,,
Woodtrans Europe trading OÜ,register@firmaturg.eu,,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 201, 13419
                            ",,,,,,,
Yundum Kubuneh OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8-241c, 10143
                            ",,,,,,,
