Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1kx Network OÜ,lasseclausen@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
1Popular Networking UÜ,info@1firmad.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Katusepapi tn 4/1, 11412
                            ",,,,,,,
42.network OÜ,,,,,,,,,,
5GCLOUD NETWORK OÜ,vv01091985@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5-119, 10117
                            ",,,,,,,
A1 Ventilatsioon OÜ,Info@a1ventilatsioon.ee,+372 5116160,"Pärnu maakond, Pärnu linn, Pärnu linn, Tui tn 6-8, 80013
                            ",,,,,,,
ABC Network Marketing OÜ,,,,,,,,,,
AdEx Network OÜ,office@adex.network,,"Portolagos street 8 - 11, Plovdiv, 4003, Bulgaria
                            ",,,,,,,
AdHive Networks OÜ,,,,,,,,,,
Osaühing Adnet Network,adnet@adnet.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 141, 11314
                            ",,,,,,,
Adovinci OÜ,maario@wisecounter.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/2, 11415
                            ",,,,,,,
Afera OÜ,aferaou2@gmail.com,+372 53642266,"Viljandi maakond, Viljandi linn, Vaksali tn 32a-13, 71012
                            ",,,,,,,
AHO Networks OÜ,info@ansonbaer.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1-K7/007, 10145
                            ",,,,,,,
Air Network OÜ,,,,,,,,,,
AI Sales Network OÜ,info@xolo.io,+796 85710800,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
aktsiaselts Aktivist Network,,,,,,,,,,
Alende Virtual Accounts Network KeyGen OÜ,fernando@alende.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 6, 10111
                            ",,,,,,,
Alliance Networks Osaühing,,,,,,,,,,
Andis Autoparts OÜ,,,,,,,,,,
ANS Network OÜ,,,,,,,,,,
APS Telecom Networks OÜ,,,,,,,,,,
Arbo Network Tallinn OÜ,,,,,,,,,,
Arcnetwork OÜ,vahe.mkrtchyan1973@gmail.com,,,,,,,,,
Armver Transport OÜ,Armvertransport@gmail.com,,"Valga maakond, Valga vald, Valga linn, Palu tn 13, 68209
                            ",,,,,,,
Arumäe & Andresson Õigusbürood OÜ,urmas@andresson.eu,+372 5151451,"Harju maakond, Viimsi vald, Püünsi küla, Järve tee 6, 74013
                            ",,,,,,,
Aruvälja Hooldekodu OÜ,Info@torikodu.ee,+372 58188580,"Pärnu maakond, Pärnu linn, Ahaste küla, Aruvälja kool, 88306
                            ",,,,,,,
ASNetwork OÜ,hello@webguru.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Linnamäe tee 85-53, 13911
                            ",,,,,,,
Asset Exchange Network OÜ,Axnetmobile@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
AstNetworks OÜ,abatov@astnetworks.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Villardi tn 22-12, 10136
                            ",,,,,,,
ATOMOS NETWORKS OÜ,info@atomosnetworks.com,,"Airedale House - 423 Kirkstall Road, Leeds, LS4 2EW, United Kingdom
                            ",,,,,,,
AT&T GLOBAL NETWORK SERVICES ESTONIA OÜ,hannibal.latuff@att.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Põhja pst 25, 10415
                            ",,,,,,,
Aurupesu24 OÜ,,,,,,,,,,
Australian Business Network OÜ,tony@park.com.au,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
AVA PARTNERS OÜ,,,,,,,,,,
B2B Network OÜ,,,,,,,,,,
BALTEST Projektid OÜ,baltestprojektid@gmail.com,+372 53470656,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 179-71, 50705
                            ",,,,,,,
Baltic Business Network OÜ,,,,,,,,,,
Mittetulundusühing Baltic Heritage Network,piretnoorhani@gmail.com,+372 55544269,"Tartu maakond, Tartu linn, Tartu linn, Vanemuise tn 42, 51003
                            ",,,,,,,
Baltic Media Network OÜ,dmitri@baltmedia.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
osaühing Baltic Network,tallinn@ee.ey.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 4, 10143
                            ",,,,,,,
OÜ BALTIC TRADING NETWORK,,,,,,,,,,
BandZ Network OÜ,v.xhelilaj@gmail.com,,"142 Widdicombe Hill Blvd, Toronto, Etobicoke, ON, M9R4A6, Canada
                            ",,,,,,,
Basic Kontorimööbel OÜ,info@basic.ee,+372 56156101,"Tartu maakond, Tartu linn, Tartu linn, Soola tn 7, 51004
                            ",,,,,,,
BAYAN MEDIA NETWORK OÜ,q.dorrani@gmail.com,,,,,,,,,
Bento Network Solutions OÜ,,,,,,,,,,
Big Network OÜ,,,,,,,,,,
Bioscience Invest OÜ,info@attest.ee,,"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 12/3-4, 11912
                            ",,,,,,,
Bitcore Network OÜ,sowana.estonia@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Karu tn 14-8, 10120
                            ",,,,,,,
Bliuk Network Infrastructures OÜ,jc.garcia@bliuk.com,+34 610865502,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
BlockBen Financial Services OÜ,peter.horvath@blockben.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Harju tn 6, 10130
                            ",,,,,,,
Bloom Network OÜ,,,,,,,,,,
Blue Networks OÜ,info@bluenetworks.ee,+372 5015295,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivaoja tn 4a-10, 10155
                            ",,,,,,,
Boku Network Services Estonia OÜ,info.ee@boku.com,,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 7, 51007
                            ",,,,,,,
Branding network solutions OÜ,irina.arvud@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Astangu tn 48-26, 13519
                            ",,,,,,,
Brokoli Network OÜ,info@estlegalservices.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Papiniidu tn 5, 80042
                            ",,,,,,,
BRS Networks Baltic AS,vahur.joesalu@brsnetworks.ee,,"Tartu maakond, Kambja vald, Soinaste küla, Päikese tn 2, 61709
                            ",,,,,,,
BSV Network OÜ,olafs.svanks@inbox.lv,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Põhja pst 25, 10415
                            ",,,,,,,
Business Infra Network OÜ,,,,,,,,,,
BYLLIONS OÜ,raudberg@gmail.com,+372 56902890,"Viljandi maakond, Viljandi linn, Lembitu pst 19-5, 71007
                            ",,,,,,,
Byron Network OÜ,contact@thompsonstein.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 5 // Sepapaja tn 4, 11415
                            ",,,,,,,
Callisto Network Foundation OÜ,yograterol@callisto.network,,,,,,,,,
CAMNETWORK OÜ,nzouendjou2002@yahoo.fr,,"Troyes, 18 Av. du Premier Mai, 10000, France
                            ",,,,,,,
Capital Network OÜ,marika.talviste@gmail.com,,"Harju maakond, Viimsi vald, Rohuneeme küla, Suur-Ringtee 9, 74012
                            ",,,,,,,
Capture Networks OÜ,kogerman.k@outlook.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tuulemaa tn 6, 10312
                            ",,,,,,,
CardNetworks OÜ,sergei@elka.ee,+372 5273035,"Harju maakond, Tallinn, Lasnamäe linnaosa, Visase tn 8, 11415
                            ",,,,,,,
Career Networks OÜ,,,,,,,,,,
Car Network OÜ,info.thomas@protonmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, J. Sütiste tee 14-45, 13411
                            ",,,,,,,
Car Rentals Network OÜ,,,,,,,,,,
Cash Network OÜ,,,,,,,,,,
CAYMENCLOUD NETWORK TECHNOLOGY OÜ,info@xolo.io,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
CC Stability OÜ,,,,,,,,,,
Celestina Network OÜ,ceo@socialdiscovery.group,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Central Network OÜ,,,,,,,,,,
CeroTrans Grupp OÜ,info@asap.ee,+372 5255163,"Tartu maakond, Tartu linn, Tartu linn, Ropka tn 16a-9, 51011
                            ",,,,,,,
chainnetwork OÜ,,,,,,,,,,
Children & KO OÜ,kalli@miniport.eu,+372 53889301,"Viljandi maakond, Põhja-Sakala vald, Võhma linn, Väike tn 12a-27, 70602
                            ",,,,,,,
CityNetwork OÜ,kristjan.kahm@mail.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 230-47, 13412
                            ",,,,,,,
Clean Earth & Golden Network OÜ,frokdeda@yahoo.se,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302/3, 12915
                            ",,,,,,,
Clearing Network Operations OÜ,az@paypugs.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
