Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1Office Estonia OÜ,admin@1office.co,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
1Office Global OÜ,ragnar@everest.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
1Office Group OÜ,admin@1office.co,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
1Office Legal OÜ,,,,,,,,,,
1Office OÜ,admin@1office.co,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
1Office Tallinn OÜ,,,,,,,,,,
24/7 Office OÜ,kool.allan@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Vabaduse pst 174b, 10917
                            ",,,,,,,
24/7 Office OÜ,,,,,,,,,,
AB Legal Office OÜ,info@ansonbaer.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kentmanni tn 4-2K, 10116
                            ",,,,,,,
osaühing ABRAMS OFFICE,m.abrams@neti.ee,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 7, 10614
                            ",,,,,,,
Activium Law Office Oü,,,,,,,,,,
Advocatus Legalisation Office OÜ,,,,,,,,,,
Advokaadibüroo HansaLaw OÜ,hansalaw@hansalaw.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Gonsiori tn 7, 10117
                            ",,,,,,,
Advokaadibüroo Sorainen OÜ,estonia@sorainen.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 6, 10111
                            ",,,,,,,
AFROVISIOON OÜ,randojerbach@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vabaduse väljak 6-6, 10146
                            ",,,,,,,
AJS OÜ,,,,,,,,,,
Allan Maloi Law Office Õigusbüroo OÜ,allanmaloi@gmail.com,+372 56642174,"Tartu maakond, Tartu linn, Tartu linn, Sõbra tn 7, 50107
                            ",,,,,,,
Osaühing ALZERONI OFFICE,,,,,,,,,,
AMLOffice OÜ,amorsild@gmail.com,+372 5099376,"Tartu maakond, Elva vald, Elva linn, Pikk tn 42, 61505
                            ",,,,,,,
Anne Camings Law Office OÜ,annecamings.lawoffice@gmail.com,,"Ida-Viru maakond, Narva linn, Kooli põik 2a-8, 20104
                            ",,,,,,,
OÜ Arden Law Offices,andresillak@gmail.com,+372 53432422,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7, 10145
                            ",,,,,,,
AR Engineering Office OÜ,andres.sykiainen@gmail.com,+372 53474887,"Harju maakond, Keila linn, Mäe tn 2-5, 76606
                            ",,,,,,,
Aru Holding OÜ,,,,,,,,,,
Assistance Offices OÜ,kopecpiotrx@gmail.com,+44 7488488610,,,,,,,,
Atlanta Office Products Aktsiaselts,,,,,,,,,,
Autooffice OÜ,kallekask112@gmail.com,+372 5033030,"Harju maakond, Saue vald, Laagri alevik, Vae tn 2, 76401
                            ",,,,,,,
Autoris Law Office OÜ,,,,,,,,,,
Autowexel OÜ,aleksislaw@aleksislaw.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Mustamäe tee 5-207, 10616
                            ",,,,,,,
AV OFFICE OÜ,averaoy@gmail.com,,"Rapla maakond, Rapla vald, Nõmmküla, Erma, 78408
                            ",,,,,,,
AV-Office OÜ,,,,,,,,,,
BackOffice4you OÜ,,,,,,,,,,
Backoffice osaühing,,,,,,,,,,
BackOffice Services OÜ,info@backoffice.ee,+372 5147496,"Jõgeva maakond, Jõgeva vald, Jõgeva linn, Suur tn 13, 48306
                            ",,,,,,,
Backoffice teenused OÜ,karin@rako.ee,+372 5099822,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kopli tn 72e, 10412
                            ",,,,,,,
Backoffice works OÜ,tallinn+Backofficeworks@comistar.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Keemia tn 4, 10616
                            ",,,,,,,
osaühing BALDONE,,,,,,,,,,
Baltic Office Solutions OÜ,,,,,,,,,,
Baltic Representative Office OÜ,kimmosaari@pm.me,+372 58507669,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 6-219, 13619
                            ",,,,,,,
OÜ Balti Majandusabi Büroo,,,,,,,,,,
Beauty Office OÜ,viktoriaprihodko@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Karjavälja tn 4, 12918
                            ",,,,,,,
Bene Est Law Office OÜ,be@be.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Raua tn 34, 10120
                            ",,,,,,,
Best Office OÜ,anary@bestoffice.ee,+372 5233311,"Pärnu maakond, Pärnu linn, Pärnu linn, Side tn 10b, 80017
                            ",,,,,,,
BSM Crew Service Centre (Estonia) OÜ,,,,,,,,,,
Business Office Management OÜ,kontor.officemanagement@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Köleri tn 8, 10150
                            ",,,,,,,
Camelod Aktiva OÜ,info@camelod.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Kadaka tee 137-65, 12915
                            ",,,,,,,
CarOffice OÜ,carofficeou@gmail.com,+372 5047191,"Harju maakond, Tallinn, Haabersti linnaosa, Astangu tn 48-18, 13519
                            ",,,,,,,
CC Officer OÜ,,,,,,,,,,
City Form Office OÜ,asevtsuk@alum.mit.edu,+1 8579280928,"Tartu maakond, Tartu linn, Tartu linn, Mõisavahe tn 14-30, 50707
                            ",,,,,,,
CityOffice OÜ,info@cityoffice.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 8, 10151
                            ",,,,,,,
Clarus Law Office OÜ,svetlanakalinina1966@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Linnamäe tee 79-116, 13911
                            ",,,,,,,
CloudOffice OÜ,hello@cloudoffice.ee,,"Pärnu maakond, Häädemeeste vald, Võiste alevik, Ranna tn 6, 86501
                            ",,,,,,,
Coffice OÜ,,,,,,,,,,
Computer Office OÜ,info@xolo.io,+348 10101101,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
OÜ Construction Law Office,,,,,,,,,,
Consultation Office OÜ,kati.varblane@gmail.com,+372 5169152,"Harju maakond, Tallinn, Kristiine linnaosa, Haki tn 8, 12916
                            ",,,,,,,
Corporate Legal Advisors OÜ,,,,,,,,,,
Creative Officer OÜ,urmas@gravitypartners.ee,+372 5018482,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kursi tn 3, 10415
                            ",,,,,,,
Cross Office OÜ,info@crossoffice.eu,+372 5081685,"Harju maakond, Tallinn, Kesklinna linnaosa, Hobujaama tn 4, 10151
                            ",,,,,,,
CryptoClub OÜ,admin@cryptoclub.ee,+380 674866714,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Cybergraph OÜ,,,,,,,,,,
Deluxe Office OÜ,info.deluxeoffice@gmail.com,+372 55676264,"Tartu maakond, Tartu linn, Tartu linn, Sõpruse pst 8-99, 50703
                            ",,,,,,,
Digital Media Office OÜ,marianne.roosipold@icloud.com,+372 53731385,"Harju maakond, Tallinn, Mustamäe linnaosa, J. Sütiste tee 21, 13419
                            ",,,,,,,
DOMS - Digital Office Management Systems OÜ,rodri.sim.12@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
Downes OÜ,,,,,,,,,,
E- Accounting Office OÜ,asiakaspalvelu@e-toimisto.fi,,"Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 3-47, 45201
                            ",,,,,,,
Eclex Law Office OÜ,,,,,,,,,,
Osaühing Edisson Law Offices,,,,,,,,,,
Eho Invest OÜ,,,,,,,,,,
Eilart Law Offices OÜ,allan.eilart@mail.ee,+372 56079558,"Harju maakond, Tallinn, Haabersti linnaosa, Aedvere tn 10, 13516
                            ",,,,,,,
