Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Abbott Products GmbH Eesti filiaal,,,,,,,,,,
AbbVie Biopharmaceuticals GmbH Eesti filiaal,,,,,,,,,,
Alcon Pharmaceuticals Ltd. Eesti filiaal,,,,,,,,,,
Aqua Pharmaceutical OÜ,lexfirmus@mail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paldiski mnt 24, 10149
                            ",,,,,,,
Baltic Pharmaceutical Equipment OÜ,kristjan@gordias.investments,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 84a, 10112
                            ",,,,,,,
AS Bravo Pharmaceuticals,rpandey@bppl.co.in,,"Harju maakond, Viimsi vald, Haabneeme alevik, Paadi tee 3, 74001
                            ",,,,,,,
Brilitas Pharmaceuticals EU OÜ,info-ee@brilitas.com,,"64 Truong Dinh street, Ward 7, District 3, Ho Chi Minh city, Vietnam, 72415, Viet Nam
                            ",,,,,,,
CAPB Group UÜ,,,,,,,,,,
EP Pharmaceuticals OÜ,gspignoli@ep-pharma.co.uk,,"Via Vittorio Alfieri 10, Firenze, 50122, Italy
                            ",,,,,,,
International Pharmaceutical Business OÜ,pp@psychometry.cz,,,,,,,,,
IPI LAOD osaühing,info@uvlamp.ee,+372 56482128,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 80-144, 10131
                            ",,,,,,,
IVAX Pharmaceuticals s.r.o. Eesti filiaal,,,,,,,,,,
J. J Pharmaceuticals OÜ,ettevotjaportaal@outlook.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Randla tn 15-2, 10315
                            ",,,,,,,
Joint Force Pharmaceutical OÜ,jointforcepharma@mail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Kutskin OÜ,kaarel.einpalu@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47c, 11415
                            ",,,,,,,
Natural Pharmaceuticals Shared Service OÜ,jonas.tornquist@natural.pl,+48 606919505,"Valga maakond, Valga vald, Valga linn, Vabaduse tn 9, 68204
                            ",,,,,,,
OAO Valenta Pharmaceuticals Eesti Filiaal,,,,,,,,,,
Pharmaceutical Research Associates Baltics OÜ,,,,,,,,,,
AS PMS TALLINN,,,,,,,,,,
Saad Pharmaceuticals OÜ,fa_saad@yahoo.co.uk,,"Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 8, 10132
                            ",,,,,,,
