Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
3Plet Publishing OÜ,,,,,,,,,,
80/20 Publishing OÜ,visudo@zoho.com,+381 63327292,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
AJ Publishing OÜ,axjacquot@gmail.com,+33 780959184,"Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47, 11316
                            ",,,,,,,
AML Publishing OÜ,amlcft.publishing@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 129c/1-53, 11314
                            ",,,,,,,
AurOre Publishing OÜ,,,,,,,,,,
Baltic Publishing Group OÜ,karlis.auza@profilatvija.lv,+371 29212127,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 4, 10117
                            ",,,,,,,
Bellington Publishing Company Eesti filiaal,enno.lepvalts@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pikk tn 68, 10133
                            ",,,,,,,
Biohacker Center Publishing OÜ,support@biohackercenter.com,+372 57444667,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Jahu tn 12, 10415
                            ",,,,,,,
OÜ Blueset Publishing,mario.kivistik@gmail.com,+372 5116646,"Harju maakond, Tallinn, Kristiine linnaosa, Tihase tn 15, 13426
                            ",,,,,,,
osaühing Brain Publishing,,,,,,,,,,
Brazen Raven Publishing OÜ,,,,,,,,,,
BS Software Publishing OÜ,,,,,,,,,,
ColNes Publishing OÜ,colnes@colnes.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
Denfin Publishing OÜ,jerker.krook@krookmedia.fi,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rotermanni tn 8, 10111
                            ",,,,,,,
DevMik OÜ,devmik@proton.me,,"Harju maakond, Viimsi vald, Miiduranna küla, Lahe tee 4, 74015
                            ",,,,,,,
Dice Publishing & Living OÜ,cellolauck@gmail.com,,"Old Sheraton Road, Ocean View 403, Hurghada, 84511, Egypt
                            ",,,,,,,
DIPA ePublishing OÜ,,,,,,,,,,
Divites Publishing OÜ,divitespublishing@gmail.com,,"Võru maakond, Setomaa vald, Serga küla, Möldri, 65334
                            ",,,,,,,
DRASHTA SCHOOL OÜ,florentfusieradmi@gmail.com,,"345 AV FABRON Villa Montana, Nice, 06200, France
                            ",,,,,,,
Drnoyan & Nalyan Publishing OÜ,,,,,,,,,,
EJEE Publishing OÜ,jourdeeido@gmail.com,,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 37-14, 13514
                            ",,,,,,,
Eliber Publishing OÜ,ieg@ieg.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Pärnu mnt 232/5, 11314
                            ",,,,,,,
eSCIN Digital Publishing OÜ,idris.arslan@yahoo.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
OÜ Estmusic Publishing,mikk@estmusic.com,+372 5091959,"Harju maakond, Tallinn, Kristiine linnaosa, Sõpruse pst 19-3, 10615
                            ",,,,,,,
Estonian Music Publishing OÜ,,,,,,,,,,
Estonian World Publishing OÜ,,,,,,,,,,
Fiore Publishing OÜ,ingrid.maasik@gmail.com,+372 56563793,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kalevi tn 22-5, 10411
                            ",,,,,,,
FlagPublishing OÜ,flagpubli@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, K. Kärberi tn 60-109, 13919
                            ",,,,,,,
Frontier Publishing OÜ,,,,,,,,,,
Global Mind OÜ,katriin@2day.ee,+372 5151608,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 45, 10921
                            ",,,,,,,
GROOVE LIKE A PIG Publishing OÜ,bassistpro9@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Keemia tn 33b/1, 10616
                            ",,,,,,,
Highpoint Publishing OÜ,tanel.saarmann@gmail.com,+372 56453741,"Harju maakond, Tallinn, Kesklinna linnaosa, Paldiski mnt 3-16, 10137
                            ",,,,,,,
Idek Publishing OÜ,behnam.kashani@gmail.com,+372 58290408,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sitsi tn 16-4, 10313
                            ",,,,,,,
I&L Publishing OÜ,,,,,,,,,,
JALBOX Publishing Innovation OÜ,,,,,,,,,,
Jikji Publishing OÜ,cimerprodcorp@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uus-Sadama tn 25-15, 10120
                            ",,,,,,,
Joyeux Publishing OÜ,info@xolo.io,+324 70662329,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Kayes Capital OÜ,ieg@ieg.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Pärnu mnt 232/5, 11314
                            ",,,,,,,
K Publishing OÜ,allan@allan.ee,,"Harju maakond, Viimsi vald, Haabneeme alevik, Tammepõllu tee 19-20, 74001
                            ",,,,,,,
Lean Stone Publishing UÜ,anders@leanstonepublishing.com,,"Harju maakond, Harku vald, Harkujärve küla, Lilleaia tee 11, 76912
                            ",,,,,,,
Little Bit Publishing OÜ,,,,,,,,,,
LP Publishing OÜ,toomas@longplay.ee,+372 5042878,"Harju maakond, Rae vald, Jüri alevik, Ristiku tn 18, 75301
                            ",,,,,,,
Osaühing LuckyFlower Publishing,,,,,,,,,,
Luftmensch Publishing OÜ,leonardneuhoff@gmail.com,,,,,,,,,
MediaLine Publishing OÜ,info@xolo.io,+372 81370892,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
MediaTrade Publishing OÜ,guido.pahlberg@mediatrade.io,,"Dettenhausen, Wiesenstr. 7, 72135, Germany
                            ",,,,,,,
Meedialisa OÜ,,,,,,,,,,
MGA Publishing OÜ,,,,,,,,,,
Miller's Publishing OÜ,kaimiller93@gmail.com,+372 53305136,"Pärnu maakond, Tori vald, Levi küla, Veski, 86808
                            ",,,,,,,
Milroy Publishing OÜ,jaansoo.a@gmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Tähtvere tn 26-2, 51007
                            ",,,,,,,
M.L.Publishing OÜ,thempublishing@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 5 // Sepapaja tn 4, 11415
                            ",,,,,,,
Montini Publishing OÜ,info@xolo.io,+436 6499950112,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
OÜ MTH Publishing,,,,,,,,,,
Nayomex Publishing OÜ,contact@taavamedia.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
NG Publishing OÜ,erkki@maailmad.ee,+372 5018100,"Võru maakond, Rõuge vald, Horoski küla, Maarimäe, 65107
                            ",,,,,,,
N&M Publishing Group TÜ,publications@nmpublishing.group,+34 643162320,"Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 8, 10132
                            ",,,,,,,
Nordic Publishing OÜ,,,,,,,,,,
OLOGY PUBLISHING OÜ,info@estlegalservices.com,,,,,,,,,
Osnovy Publishing OÜ,danapavlychko@osnovypublishing.com,,,,,,,,,
P9R Publishing OÜ,wytze@lexiun.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 47b-36, 10416
                            ",,,,,,,
Palame Publishing OÜ,contact@palamepublishing.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-40, 10145
                            ",,,,,,,
Pebble Beach Publishing UÜ,anders@pebblebeachpublishing.com,,"Harju maakond, Harku vald, Harkujärve küla, Lilleaia tee 11, 76912
                            ",,,,,,,
Perfect Pearl Publishing UÜ,anders@perfectpearlpublishing.com,,"Harju maakond, Harku vald, Harkujärve küla, Lilleaia tee 11, 76912
                            ",,,,,,,
Phase Publishing OÜ,lari.telaranta@gmail.com,+346 59822190,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
PosterChild Publishing OÜ,,,,,,,,,,
Print & Publishing OÜ,,,,,,,,,,
Publishing Consulting OÜ,tallinn+PublishingConsulting@comistar.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Keemia tn 4, 10616
                            ",,,,,,,
PublishingHouse ProfessionalEvent OÜ,info@professional-event.eu,+372 6027698,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
Publishing Sprint OÜ,publishingsprintou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Publishing Technology OÜ,,,,,,,,,,
Publishing Venture OÜ,pkungurtsev@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 76-8, 12912
                            ",,,,,,,
QOQO Digital Publishing OÜ,,,,,,,,,,
Quantum Media Publishing OÜ,qmp@securesystemdesign.io,+380 631919075,"Paustovs'koho Street, 19, ap.38 Odessa, Odessa Oblast, 65111, Ukraine
                            ",,,,,,,
Racing Publishing OÜ,reinluikmedia@gmail.com,+372 5024504,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Vilmsi tn 12a-7, 10126
                            ",,,,,,,
Raud Publishing Eesti Aktsiaselts,,,,,,,,,,
Raudwara Publishing House OÜ,info@raudwara.ee,+372 56935927,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Vilmsi tn 58-20, 10115
                            ",,,,,,,
Read Publishing OÜ,ronja@roovel.ee,+372 53406882,"Lääne maakond, Haapsalu linn, Haapsalu linn, Haava tn 11, 90505
                            ",,,,,,,
REAL KEY MUSIC PUBLISHING OÜ,paul@realkeymusic.com,+372 85365696,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Roland Publishing OÜ,support@xolo.io,+447 480648870,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Rumori Publishing OÜ,martin.ustaal@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 24-25a, 10115
                            ",,,,,,,
ScanProfit Group OÜ,,,,,,,,,,
Science Publishing OÜ,science.publishing.oy@gmail.com,,"Ida-Viru maakond, Sillamäe linn, Mere pst 3, 40231
                            ",,,,,,,
SeniorInfo Publishing OÜ,pekka@seniorinfo.fi,,"Harju maakond, Tallinn, Kesklinna linnaosa, Paadi tn 14a-54, 10151
                            ",,,,,,,
Shapovalov Scientific Publishing OÜ,info@xolo.io,+380 675720776,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Skytte Publishing OÜ,,,,,,,,,,
Snowdog Music Publishing OÜ,,,,,,,,,,
Spiral Up Game Publishing OÜ,cheeyong@mixedrealms.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Sun Publishing OÜ,,,,,,,,,,
Sõnad Communication & Publishing OÜ,info@sonad-cp.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 67/1-13b, 10115
                            ",,,,,,,
Zacusca Publishing OÜ,info@graesmagazine.com,,,,,,,,,
Tamm Publishing OÜ,piret.tamm@gmail.com,+372 5178567,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivamäe tn 6-51, 10113
                            ",,,,,,,
Tardigrada Digital Publishing Services OÜ,,,,,,,,,,
Terentyev Music Publishing Company OÜ,terentyev.publisher@protonmail.com,+372 58891389,"Harju maakond, Tallinn, Kesklinna linnaosa, Pronksi tn 4-2, 10124
                            ",,,,,,,
Tier Music Publishing OÜ,thea@tiermusic.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Värsi tn 25, 10919
                            ",,,,,,,
Timon Auto ja Metallipalvelu OÜ,,,,,,,,,,
TMC Rivital OÜ,,,,,,,,,,
UNIVERSEPUBLISHING OÜ,,,,,,,,,,
Verendel Publishing OÜ,jan@verendel.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe, 74626
                            ",,,,,,,
Vest Indiya Publishing Company OÜ,teresa.galarza@jotdown.es,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
VITAL PUBLISHING OSAÜHING,,,,,,,,,,
