Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
3N Residential OÜ,,,,,,,,,,
CI Residential OÜ,colliers.estonia@colliers.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
EfTEN Residential Fund usaldusfond,gp@eften.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 5, 10114
                            ",,,,,,,
Ektornet Residential Estonia OÜ,,,,,,,,,,
Fortuuna Residentials OÜ,,,,,,,,,,
Hipodroomi Residential OÜ,info@reterra.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 4a, 10151
                            ",,,,,,,
Lumi Kodud Manufaktuuri OÜ,info@lumicapital.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kentmanni tn 4, 10116
                            ",,,,,,,
Newsec Residential Property Management EE OÜ,info@newsec.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 12, 10148
                            ",,,,,,,
Residential Holding OÜ,tallinn@leasedealgroup.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 2, 10145
                            ",,,,,,,
Residential Investments OÜ,j.cesne@glimstedt.lt,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 158-88, 11317
                            ",,,,,,,
Residential Management OÜ,info.residentialmanagement@gmail.com,,"Tartu maakond, Tartu vald, Vahi alevik, Väike-Nõmme tn 2-1, 60534
                            ",,,,,,,
Reval Residential Suites OÜ,anneli.annus@gmail.com,+372 5166630,"Harju maakond, Tallinn, Kesklinna linnaosa, Rataskaevu tn 22-12, 10123
                            ",,,,,,,
Rolegur Residential OÜ,tiit@hanso.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Rannamõisa tee 38d, 13516
                            ",,,,,,,
Ruuto Katused Osaühing,aarne.ruuto@mail.ee,+372 55663475,"Lääne-Viru maakond, Kadrina vald, Kihlevere küla, Külavahe tee 1-11, 45215
                            ",,,,,,,
