Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Baltic Restaurants Estonia AS,office@balticrest.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 2f, 11415
                            ",,,,,,,
Bankend Restaurants OÜ,nimetabaar@hot.ee,+372 56493349,"Harju maakond, Tallinn, Kesklinna linnaosa, Mündi tn 2, 10146
                            ",,,,,,,
Bars and Restaurants OÜ,mjm_properties@yahoo.com,+372 55916332,"Harju maakond, Tallinn, Kristiine linnaosa, Kännu tn 28a, 13425
                            ",,,,,,,
Best Baltic Restaurants OÜ,valberg.info@gmail.com,+372 5020882,"Harju maakond, Saku vald, Kiisa alevik, Männi põik 2, 75503
                            ",,,,,,,
Fufu restaurants OÜ,,,,,,,,,,
Gülnara's Restaurants OÜ,,,,,,,,,,
HCG Restaurants OÜ,jevgeni.grishin@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 30, 10151
                            ",,,,,,,
MER restaurants OÜ,rukkilillkohvik@gmail.com,+372 5051839,"Harju maakond, Tallinn, Kesklinna linnaosa, Kullassepa tn 13, 10146
                            ",,,,,,,
MTCRestaurants OÜ,regno.ou@gmail.com,+372 58802105,"Harju maakond, Tallinn, Nõmme linnaosa, Valdeku tn 122-10, 11215
                            ",,,,,,,
Natural Fish Restaurants OÜ,jtlaaksonen@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, F. R. Faehlmanni tn 2-2, 10125
                            ",,,,,,,
Premier Restaurants Eesti OÜ,info@ee.mcd.com,+372 5102173,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 13, 10145
                            ",,,,,,,
OÜ Rosinter Restaurants,,,,,,,,,,
TechFood Restaurants OÜ,justmedavidwww@gmail.com,,,,,,,,,
