Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Aviation Safety Group OÜ,kari.komaro@interfire.fi,,"Harju maakond, Tallinn, Kristiine linnaosa, Sõpruse pst 145, 13425
                            ",,,,,,,
AV Safety OÜ,mail@safety.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Tulika põik 4, 10613
                            ",,,,,,,
Baltic Fire Safety OÜ,,,,,,,,,,
Baltic Safety Consulting OÜ,martiny_nicolas@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 22-17a, 10141
                            ",,,,,,,
Baltic Safety Lab OÜ,bsl@newtest.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 7, 10126
                            ",,,,,,,
Baltic Safety Solutions OÜ,,,,,,,,,,
CACHALOT OÜ,,,,,,,,,,
OÜ Cargo Safety Management,svk73@hotmail.com.ar,,"Pärnu maakond, Pärnu linn, Pärnu linn, Pikk tn 12, 80013
                            ",,,,,,,
Consulting&services&foodsafety OÜ,andreamarianelli93@gmail.com,+39 3518935610,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
cRisk Site-Safety OÜ,stewart.carnegie@criskanalysis.com,+372 054541650,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2-1002, 10138
                            ",,,,,,,
EDRA Timing & Safety Group OÜ,kristjan@edra.ee,+372 53960111,"Tartu maakond, Tartu linn, Tartu linn, Kaunase pst 18-24, 50704
                            ",,,,,,,
EstAlert Safety Products OÜ,info@estalert.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Kadaka tee 36, 10621
                            ",,,,,,,
Estonian civil safety OÜ,andreiorponen@gmail.com,+372 58533909,"Harju maakond, Tallinn, Lasnamäe linnaosa, Liikuri tn 8a-12, 13618
                            ",,,,,,,
Mittetulundusühing Estonian Motorsport Safety Crew,heiki.kurissoo@rescue.ee,,"Harju maakond, Lääne-Harju vald, Laulasmaa küla, Vana-Sireli tn 27, 76702
                            ",,,,,,,
OÜ Eurosafety,,,,,,,,,,
Mittetulundusühing EU Safety Projects,,,,,,,,,,
Falcon Safety OÜ,anri@anri.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 18-51, 10145
                            ",,,,,,,
OÜ Fire Safety Group,oyfiresafetygroup@gmail.com,+372 56883321,"Harju maakond, Maardu linn, Haigla tn 5, 74116
                            ",,,,,,,
Fire Safety OÜ,firesafety@firesafety.ee,+372 56670625,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sikupilli tn 17-2, 11414
                            ",,,,,,,
Mittetulundusühing ForSafetyOnline,info@forsafety.online,,"Harju maakond, Tallinn, Kristiine linnaosa, Kibuvitsa tn 20, 10613
                            ",,,,,,,
GA Safety OÜ,,,,,,,,,,
Hoffmann Metall OÜ,tarmo.tontson@gmail.com,+372 53015500,"Harju maakond, Lääne-Harju vald, Paldiski linn, Tallinna mnt 31, 76806
                            ",,,,,,,
Insafety OÜ,info@insafety.ee,+372 55560844,"Pärnu maakond, Pärnu linn, Pärnu linn, Vanapargi tn 2, 80013
                            ",,,,,,,
International Health and Safety Qualification Centre OÜ,,,,,,,,,,
Investments in Safety OÜ,,,,,,,,,,
JLO OÜ,,,,,,,,,,
Ketodo OÜ,info.ketodo@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Valgevase tn 16-9, 10414
                            ",,,,,,,
MACH 1 AVIATION OÜ,,,,,,,,,,
Majuhhan Chappargram OÜ,transatlantic.international@contractor.net,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8-241c, 10143
                            ",,,,,,,
Marine and Safety Consultant OÜ,gregor@ms-consultant.com,,"Harju maakond, Viimsi vald, Püünsi küla, Kooli tee 5, 74013
                            ",,,,,,,
Mgware Tshwabi OÜ,rip.vc.inc@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8, 10143
                            ",,,,,,,
Mziuri Kaczyn OÜ,,,,,,,,,,
Netaman Safety OÜ,oleg@netaman.ee,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paljassaare tee 4, 10313
                            ",,,,,,,
PK-Safety OÜ,pekumapeter@me.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302/3, 12915
                            ",,,,,,,
Protector Automotive Safety Systems OÜ,,,,,,,,,,
Road Equipment and Safety Products OÜ,info@andreas-lau.de,+372 5202899,"Harju maakond, Saue vald, Saue linn, Koondise tn 13-7, 76505
                            ",,,,,,,
Road Safety OÜ,,,,,,,,,,
Safety1 Expert OÜ,vladimirsillaste@gmail.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Pähkli tn 8, 80041
                            ",,,,,,,
Safety and Security Solutions OÜ,info@sassolutions.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
Safety Assessment OÜ,meelika.koitjarv@gmail.com,+372 5038878,"Harju maakond, Kose vald, Kose alevik, Kehra mnt 30, 75101
                            ",,,,,,,
Safety Briefing Enterprise OÜ,office@sbenterprise.eu,+372 6705970,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7-634, 10117
                            ",,,,,,,
MTÜ Safety Car,,,,,,,,,,
OÜ Safety Drivers,,,,,,,,,,
SafetyEase OÜ,safetyease1@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Loitsu tn 5-247, 13622
                            ",,,,,,,
Safety First OÜ,info@safetyfirst.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
Safety First TC OÜ,info@safetyfirst.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
SafetyKit OÜ,aleksei.akilov@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Vahulille tee 5-7, 12015
                            ",,,,,,,
Safety OÜ,,,,,,,,,,
SafetyPluss OÜ,info@safetypluss.ee,+372 56157191,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131-96, 12917
                            ",,,,,,,
Safety & Security OÜ,safetyandsecurity@online.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Maakri tn 19/1, 10145
                            ",,,,,,,
Safety & Service OÜ,,,,,,,,,,
Safety Solutions OÜ,info@tooturvalisus.ee,+372 56607797,"Harju maakond, Rae vald, Peetri alevik, Helgi tee 2, 75312
                            ",,,,,,,
Safety & Stewards OÜ,,,,,,,,,,
OÜ SafetyStock,worldnetintercon@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 53, 10115
                            ",,,,,,,
SAFETY SYSTEM ESTONIA OÜ,,,,,,,,,,
Safetyway OÜ,ermo.kruus@gmail.com,,"Harju maakond, Keila linn, Jõe tn 38, 76609
                            ",,,,,,,
SafetyWorks OÜ,ennu.kuusk@gmail.com,+372 5299868,"Tartu maakond, Tartu vald, Raadi alev, Pärna allee 5-22, 60534
                            ",,,,,,,
osaühing SQS Safety & Quality Service,kurshakova.nata@gmail.com,+372 5251596,"Harju maakond, Maardu linn, Veeru tn 12-57, 74113
                            ",,,,,,,
St.Michael Safety Service OÜ,saaruanmaa@qmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 48, 11415
                            ",,,,,,,
Swedol AB (publ) Eesti filiaal,info@grolls.ee,+372 5060238,"Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 75, 13816
                            ",,,,,,,
TADDO-Safety OÜ,andreiorponen@gmail.com,+372 58533909,"Harju maakond, Tallinn, Lasnamäe linnaosa, Liikuri tn 8a-12, 13618
                            ",,,,,,,
mittetulundusühing Traffic Safety Association,,,,,,,,,,
Tuleohutusekspertiisi Büroo osaühing,,,,,,,,,,
Uku Safety OÜ,ukuman@mail.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Dunkri tn 3-2, 10123
                            ",,,,,,,
