Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
AgroSchool OÜ,info@agroschool.lt,,"Harju maakond, Tallinn, Kesklinna linnaosa, Lai tn 32-8, 10133
                            ",,,,,,,
OSAÜHING ALEXKUK,alexkuk@hot.ee,+372 5531917,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 88-55, 12917
                            ",,,,,,,
AlfaSchool OÜ,alfaschoolua@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
Alternative School of Voice and Sound Therapy OÜ,6629732@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 110, 13517
                            ",,,,,,,
AmericanSchool OÜ,xabi@ingles-madrid.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
Balance school OÜ,anna_silajeva@mail.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Masina tn 22, 10113
                            ",,,,,,,
BALTIC CIGAR GROUP OÜ,,,,,,,,,,
OÜ B.A.T school,irinagulova@mail.ru,,"Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Toome pst 8-16, 31022
                            ",,,,,,,
bodyARTschool Estonia OÜ,info@kristiroosimagi.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uue Maailma tn 21-33, 10131
                            ",,,,,,,
Cake Craft School OÜ,info@xolo.io,+346 49607306,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Champathong thai massage & school OÜ,,,,,,,,,,
Contriber School OÜ,e3mmjeiy@flow.contriber.com,,"Tartu maakond, Tartu linn, Tartu linn, Raekoja plats 16, 51004
                            ",,,,,,,
C-Rally School OÜ,urmo@nbquality.ee,,"Harju maakond, Rae vald, Kopli küla, Linnu tee 16-1, 75321
                            ",,,,,,,
Creative Writing School OÜ,public.savva@gmail.com,+372 58135797,"Tartu maakond, Tartu linn, Tartu linn, Pepleri tn 8-18, 51003
                            ",,,,,,,
C/U International Language School OÜ,collinzugezene@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kalevipoja tn 11, 13625
                            ",,,,,,,
OÜ DATE School,cicapschool@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sauna tn 6, 10140
                            ",,,,,,,
OÜ DEU Partners,indrek@raud.net,+372 56220663,"Harju maakond, Tallinn, Kesklinna linnaosa, Valge tn 13, 11415
                            ",,,,,,,
DiscoverySchool MTÜ,discoverytimegm@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Tuuliku tee 4c, 10621
                            ",,,,,,,
Dmitry Kalyazin Acting School OÜ,kaljazin@gmail.com,+372 58347489,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Soo tn 28-18, 10414
                            ",,,,,,,
DRASHTA SCHOOL OÜ,florentfusieradmi@gmail.com,,"345 AV FABRON Villa Montana, Nice, 06200, France
                            ",,,,,,,
Early English School OÜ,info@pingusenglish.ee,+372 58552700,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 12-122, 10111
                            ",,,,,,,
Easy Spanish School OÜ,,,,,,,,,,
Mittetulundusühing Ecofarm School,,,,,,,,,,
EduSchool OÜ,ekov993@gmail.com,+372 58336667,"Ida-Viru maakond, Narva linn, Mõisa tn 10, 21007
                            ",,,,,,,
E.Mi School Estonia OÜ,estonia-school@emischool.com,+372 58007154,"Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Ahtme mnt 27-24, 31023
                            ",,,,,,,
English School OÜ,ouenglishschool@gmail.com,+372 55533788,"Harju maakond, Tallinn, Haabersti linnaosa, Tiskre tee 1a, 13516
                            ",,,,,,,
EquipMySchool OÜ,service@equipmyschool.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
E-School OÜ,inforaportid@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 53, 13415
                            ",,,,,,,
Esthetic Beauty School OÜ,kikidemidova@mail.ru,+372 54005104,"Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Sõpruse tn 14a-20, 31025
                            ",,,,,,,
Estonian Boarding Schools MTÜ,jogar.maie@gmail.com,,"Valga maakond, Otepää vald, Puka alevik, Ääre tn 5-12, 67217
                            ",,,,,,,
OÜ Estonian Business School Group,ebs@ebs.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 3, 10114
                            ",,,,,,,
Sihtasutus Estonian Business School,ebs@ebs.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 3, 10114
                            ",,,,,,,
Estonian Sail Racing School MTÜ,estoniansrs@gmail.com,+372 5256481,"Harju maakond, Harku vald, Ilmandu küla, Kadaka tee 11-1, 76904
                            ",,,,,,,
European Real Estate Business School OÜ,hello@erebschool.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 62/1, 10115
                            ",,,,,,,
European Sailing School OÜ,katalov@hot.ee,+372 55912169,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivamäe tn 4-18, 10132
                            ",,,,,,,
Usaldusühing EUROSCHOOL KOOLITUS,yegorov1976@ya.ru,+372 58182016,,,,,,,,
MTÜ Fesay Dance School,mariafessai@gmail.com,+372 56354142,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 88-60, 50705
                            ",,,,,,,
FNDX Trading School OÜ,hlib.kozak@gmail.com,+38 0684432480,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 12, 10917
                            ",,,,,,,
Glasgow School of English Estonia OÜ,,,,,,,,,,
Go Global Business School OÜ,goglobalbusinessschool@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uue Maailma tn 2-13, 10129
                            ",,,,,,,
GrantSchool OÜ,cosmoskype.school@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50-201, 10152
                            ",,,,,,,
griffin design school OÜ,harmeetbatra@hotmail.com,,"Tartu maakond, Tartu linn, Tartu linn, Liiva tn 41, 50303
                            ",,,,,,,
Hospitality Innovation School Sihtasutus,,,,,,,,,,
IB School Jobs.com OÜ,info@xolo.io,+447 418427220,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Immersion Language School Osaühing,martinneltsas@gmail.com,+372 58100911,"Ida-Viru maakond, Narva linn, Uusküla tn 15-69, 20204
                            ",,,,,,,
ImmiSchool - Uusimmigrantide Koolituskeskus OÜ,info@immischool.eu,,"Lääne maakond, Lääne-Nigula vald, Saunja küla, Kooli, 91017
                            ",,,,,,,
