Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
12social.com OÜ,,,,,,,,,,
2S2B Social Media OÜ,alexandre.werkoff@gmail.com,+66 21589403,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
360Social OÜ,rafael.ekroos@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 67/1-13b, 10115
                            ",,,,,,,
Mittetulundusühing Agency of social initiatives KLF,,,,,,,,,,
Alex Leon Social Coaching OÜ,info@xolo.io,+436 601113388,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Mittetulundusühing Baltic Social Programs,,,,,,,,,,
Mittetulundusühing Baltic Social Support,,,,,,,,,,
Osaühing BarSocial,,,,,,,,,,
Be Social OÜ,,,,,,,,,,
Aktsiaselts Big Data Scoring,antonio.latorre@bigdatascoring.com,+358 407471236,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Bloom Social OÜ,merlinkase@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Saue tn 15-5, 10612
                            ",,,,,,,
Bsocial OÜ,tomique@icloud.com,+372 53490835,"Harju maakond, Tallinn, Haabersti linnaosa, Paldiski mnt 171, 13518
                            ",,,,,,,
Bu Socialy OÜ,,,,,,,,,,
Mittetulundusühing Centre Of Social Support,,,,,,,,,,
Daruma Social OÜ,info@xolo.io,+491 5141475743,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
DIGITALL OÜ,hello@digitall.ee,+372 56229822,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 8, 10151
                            ",,,,,,,
DM SEO Social Media OÜ,dmseosocialmedia@gmail.com,,"Sumatra Straat 149 A, Amsterdam, 1094 LW, Netherlands
                            ",,,,,,,
DTSocialize OÜ,dtsocializeou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 3 // 5 // 7, 10145
                            ",,,,,,,
Elite Social OÜ,elisekytt@hotmail.com,+372 59006799,"Harju maakond, Tallinn, Haabersti linnaosa, Hansu tn 6, 13523
                            ",,,,,,,
Elit Social Grupp OÜ,,,,,,,,,,
Ell Social OÜ,lauraesta@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Lille tn 27-3, 10614
                            ",,,,,,,
Estonian Social Consulting Centre OÜ,SocialConsultingCentre@gmail.com,+372 5530338,"Harju maakond, Tallinn, Nõmme linnaosa, Aate tn 8, 11621
                            ",,,,,,,
FAMBASE OÜ,,,,,,,,,,
HelpWill Social Technologies OÜ,info@helpwillcome.com,+372 58525976,,,,,,,,
Innosocial OÜ,info@inno.social,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 5--11, 11415
                            ",,,,,,,
OÜ Institute of Social Technologies,ist-ooo@mail.ru,,,,,,,,,
ITS Social OÜ,Kersti.lukso@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Manufaktuuri tn 16, 10323
                            ",,,,,,,
JMSocialCoaching OÜ,jmsocialcoach@gmail.com,+158 52067200,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
KP Social OÜ,keiupirnpuu@gmail.com,+372 53427297,"Harju maakond, Rae vald, Peetri alevik, Küti tee 30a-3, 75312
                            ",,,,,,,
Latam Social OÜ,bennultd@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pagari tn 1-17, 10133
                            ",,,,,,,
LeadSocials OÜ,info@leadsocials.com,,"Viljandi maakond, Viljandi linn, Lina tn 41, 71008
                            ",,,,,,,
