Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
10Dspace OÜ,,,,,,,,,,
3DST OÜ,3dstou@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pikk tn 67-3, 10133
                            ",,,,,,,
8 Bits Space OÜ,info@xolo.io,+485 08252823,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Aarispace OÜ,airisiiner@gmail.com,,"Pärnu maakond, Saarde vald, Kilingi-Nõmme linn, Aia tn 3-15, 86305
                            ",,,,,,,
Abovespace OÜ,arrangekv@yahoo.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Estonia pst 5, 10143
                            ",,,,,,,
Ace of Space OÜ,ines@aceofspace.ee,+372 55589757,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sikupilli tn 9, 11414
                            ",,,,,,,
Aerospace Quality OÜ,bradmallard@hotmail.com,+49 17627902332,"Harju maakond, Tallinn, Kesklinna linnaosa, F. R. Faehlmanni tn 5, 10125
                            ",,,,,,,
Osaühing A Floors,,,,,,,,,,
OSAÜHING AIRSPACE,heikituul@hotmail.com,+372 55688209,"Harju maakond, Tallinn, Kesklinna linnaosa, Rataskaevu tn 22, 10123
                            ",,,,,,,
Aje OÜ,kaur@aje.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sikupilli tn 9-18, 11414
                            ",,,,,,,
Alliklepa Invest Osaühing,,,,,,,,,,
Osaühing AMUN,,,,,,,,,,
Anitiw Space OÜ,triin@ab-nafta.ee,,"Harju maakond, Tallinn, Nõmme linnaosa, Sõbra tn 24b, 10920
                            ",,,,,,,
Annika Raim Consultancy OÜ,firstspaceoy@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Poordi tn 3-14, 10156
                            ",,,,,,,
ArenaSpace OÜ,9959188@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
ArtCollectingSpace OÜ,,,,,,,,,,
ART SPACE OÜ,ArtSpaceOU@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 84a, 10112
                            ",,,,,,,
ASPACE OÜ,hks_102@naver.com,,,,,,,,,
Atlas Aerospace Accessories Eesti OÜ,,,,,,,,,,
Auto Coin Payments OÜ,info@autocoincars.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 3, 10151
                            ",,,,,,,
AutoSpace OÜ,hydrol@hydrol.ee,+372 58008257,"Harju maakond, Tallinn, Kristiine linnaosa, Mustjõe tn 43, 10617
                            ",,,,,,,
Backspacer OÜ,kari.manninen@belimo.ee,+372 5041899,"Harju maakond, Tallinn, Kesklinna linnaosa, Türi tn 10d, 11313
                            ",,,,,,,
Osaühing Baltic Aviation Space Agency,,,,,,,,,,
Barefoot Entertainment Group osaühing,Palling.kalle@gmail.com,+372 56639005,"Järva maakond, Türi vald, Käru alevik, Viljandi mnt 21a, 79201
                            ",,,,,,,
Barre Spaces OÜ,info@xolo.io,+161 74709147,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
BeautySpace OÜ,golubevabeauty@gmail.com,+372 56615832,"Harju maakond, Tallinn, Pirita linnaosa, Naadi tee 4-1, 11912
                            ",,,,,,,
Big red space OÜ,szeksp@gmail.com,+372 56612137,"Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 8, 10132
                            ",,,,,,,
Bigspacedigital OÜ,info@xolo.io,+337 72448086,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
OÜ BioFuture,,,,,,,,,,
Biospace OÜ,mw@biospace.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 139e/2-8, 11317
                            ",,,,,,,
Biowest Trade OÜ,info@biowest.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 19, 10141
                            ",,,,,,,
bit2space OÜ,mrkamil.grabowski@gmail.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe, 74626
                            ",,,,,,,
OÜ Blank Space,blankestofspaces@gmail.com,+372 56631344,"Harju maakond, Tallinn, Nõmme linnaosa, Lauliku tn 46, 10914
                            ",,,,,,,
