Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Askel Sustainability Solutions OÜ,askelsustainabilitysolutions@gmail.com,+358 406824195,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Hundipea tn 3-2, 10416
                            ",,,,,,,
AZC sustainability OÜ,alexrangel_91@icloud.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
Baltic Sea Sustainability OÜ,,,,,,,,,,
IBF International Institute for Better Futures OÜ,connect@drisabelfranco.com,,"30608/40 Duncan Street, West End Queensland, 4101, Australia
                            ",,,,,,,
Kaia Sustainability Consulting OÜ,kaia.eichler@gmail.com,,"Harju maakond, Tallinn, Pirita linnaosa, Priimula tee 45, 11913
                            ",,,,,,,
Omagua Institute for Sustainability MTÜ,14994091@eesti.ee,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
Probuild Sustainability Consulting Inc. OÜ,38403050386@eesti.ee,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
sustainabilitycorp OÜ,rasim@sustainabilitycorp.net,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
Sustainability Page OÜ,philip@sustainabilitypage.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Sustainability Services OÜ,s.pehme@gmail.com,+372 5049636,"Harju maakond, Saue vald, Saue linn, Peenra tn 4, 76506
                            ",,,,,,,
MTÜ Ukrainian Healthcare Sustainability Platform,peeter.ross@smisinternational.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaarli pst 9-1a, 10119
                            ",,,,,,,
