Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
1OV Technology OÜ,info.1ovtechnology@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 5, 10151
                            ",,,,,,,
1UP Technology OÜ,info@1uptech.eu,,"Harju maakond, Tallinn, Nõmme linnaosa, Teemeistri tn 2/2, 10916
                            ",,,,,,,
1WON Technology OÜ,david@worldopennetwork.net,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 13, 10111
                            ",,,,,,,
2T Technology OÜ,iteedla@gmail.com,+372 5133435,"Harju maakond, Tallinn, Kesklinna linnaosa, Jõe tn 5-55, 10151
                            ",,,,,,,
3d rope access service OÜ,timamina96@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pikri tn 10, 13629
                            ",,,,,,,
3NC Technology OÜ,info@leapin.eu,+552 1991967719,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
3T Technology OÜ,info@3t.ee,+372 53429200,"Harju maakond, Tallinn, Nõmme linnaosa, Trummi tn 23-2, 12617
                            ",,,,,,,
40 Invest Technology OÜ,,,,,,,,,,
9Flares Technology OÜ,contact@9flares.technology,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Absolute Technology OÜ,,,,,,,,,,
Osaühing AB Technology,abt@abt.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Tondi tn 51-22, 11316
                            ",,,,,,,
Academy for Innovation and Technology K&K OÜ,i.korma@f-kconsultants.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Adfactory Design OÜ,info@adtech.ee,+372 5244532,"Harju maakond, Saku vald, Tänassilma küla, Valdmäe põik 1, 76406
                            ",,,,,,,
AEDAN TECHNOLOGY OÜ,earslan2005@gmail.com,,,,,,,,,
OÜ AIRTIME,9225711@mail.ru,+7911 9225711,"Ida-Viru maakond, Narva linn, Kadastiku tn 45b, 21004
                            ",,,,,,,
Ai Soft Technology OÜ,,,,,,,,,,
AKILLIMUM TECHNOLOGY OÜ,askin@globalestonia.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Akil Technology OÜ,afrim_hajra@hotmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
Akson Baltic Technology OÜ,info@orgcomjuura.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-132, 10145
                            ",,,,,,,
Alan URBAN Technology and Consulting (AUTC) OÜ,au.tech.consult@gmail.com,+372 98411891,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
ALB TECHNOLOGY OÜ,bestikon@gmail.com,+372 5179035,"Harju maakond, Viimsi vald, Püünsi küla, Kasesoo tee 2, 74013
                            ",,,,,,,
Alcântara Technology Lab OÜ,info@xolo.io,+491 728683535,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Aleftechnology OÜ,sergiilat@protonmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Alexander Biehl Science and Technology Consulting OÜ,alexbiehl@gmail.com,,"Bornstrasse 16, 20146, Germany
                            ",,,,,,,
Alfa Technology Ventures OÜ,,,,,,,,,,
Algobots Technology OÜ,russell@block-media.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Sõlme tn 14, 11612
                            ",,,,,,,
Algus Technology and Consultancy OÜ,tiglib.mail@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 10151
                            ",,,,,,,
OÜ Alignment Technology,gvooglaid@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
Allerdean Group OÜ,allerdean.pl@gmail.com,,,,,,,,,
OÜ ALPACA TECHNOLOGY,,,,,,,,,,
Alphatechnology OÜ,alpha.technology@icloud.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 13, 10111
                            ",,,,,,,
Alternatico Technology OÜ,wmtorun@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
ALTERNATIVE ENERGY TECHNOLOGY OÜ,ami5@list.ru,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 58-25, 10120
                            ",,,,,,,
AltSignals Technology OÜ,russell@block-media.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Sõlme tn 14, 11612
                            ",,,,,,,
Amazing Technology Ltd OÜ,,,,,,,,,,
Amco Technology OÜ,h.ojasoo@gmail.com,+372 58346294,"Harju maakond, Tallinn, Kesklinna linnaosa, Luise tn 4-61, 10142
                            ",,,,,,,
Amotec Technology OÜ,vgrevts@gmail.com,+372 53058704,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 6-7, 10148
                            ",,,,,,,
OÜ Amperloop,janaranderson@mail.ee,+372 56485838,"Tartu maakond, Elva vald, Käärdi alevik, Rukki tn 1-6, 61007
                            ",,,,,,,
Ankapuna Group OÜ,,,,,,,,,,
ANK Technology OÜ,info@anktec.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 6-7, 10148
                            ",,,,,,,
Anver Technology OÜ,info@anver.ee,+372 53540146,"Harju maakond, Tallinn, Haabersti linnaosa, Jalami tn 1-38, 13519
                            ",,,,,,,
AOMP Technology OÜ,trofimenko.konstantin@gmail.com,+372 56693602,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 48a, 10416
                            ",,,,,,,
APBaltic Technology and Trading OÜ,,,,,,,,,,
APOLLO NANOTECHNOLOGY OÜ,malhz@apollonanotech.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Linnamäe tee 43-48, 13911
                            ",,,,,,,
APPJO TECHNOLOGY OÜ,emin@appjo.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Valge tn 13, 11415
                            ",,,,,,,
Apriorit technology OÜ,info@apriorit.eu,,"Pärnu maakond, Häädemeeste vald, Häädemeeste alevik, Suurküla tn 1, 86001
                            ",,,,,,,
Aratt Software Solution Consultancy Technology OÜ,assctbob@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
ARB TECHNOLOGY AND TRADE CONSULTING OÜ,alib@growinemea.com,,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 101, 50604
                            ",,,,,,,
Archimedes Technology OÜ,,,,,,,,,,
ARCU.technology OÜ,mail@arcu.technology,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kaupmehe tn 6, 10114
                            ",,,,,,,
ARRMIO Technology OÜ,,+491 5141498829,,,,,,,,
Arting Consult OÜ,info@artingconsult.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Rävala pst 8, 10143
                            ",,,,,,,
Art of Technology OÜ,erik.zeitler@gmail.com,,"Harju maakond, Saku vald, Saku alevik, Õuna tn 20, 75501
                            ",,,,,,,
osaühing Aru Technology Group,tatjana@arutech.ee,+372 55682067,"Harju maakond, Rae vald, Peetri alevik, Allika tee 3, 75312
                            ",,,,,,,
Asgard Technology OÜ,emrahgazicandan@hotmail.com,+372 5575656,"Harju maakond, Tallinn, Kesklinna linnaosa, Laulupeo tn 20a, 10128
                            ",,,,,,,
Assetonchain Technology OÜ,info@xolo.io,+372 58405925,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
ASVIS TECHNOLOGY Osaühing,,,,,,,,,,
ASVIS-Technology OÜ,,,,,,,,,,
A&Z Technology OÜ,aanda.shop2020@gmail.com,+372 58287428,"Harju maakond, Tallinn, Kesklinna linnaosa, Tatari tn 22, 10116
                            ",,,,,,,
AtmanTechnology OÜ,leandro@dropsmith.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
ATZ Recycling Technology OÜ,zamm@gmx.de,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
auh2o technology OÜ,info@xolo.io,+447 472315868,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Aures Consulting OÜ,ivo.lasn@gmail.com,+372 56453984,"Harju maakond, Tallinn, Pirita linnaosa, Kloostrimetsa tee 77-6, 11911
                            ",,,,,,,
AURISEG CONSULTING & TECHNOLOGY OÜ,info@leapin.eu,+919 940864275,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Aurora Technology OÜ,info@kallas.ch,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 6a, 10151
                            ",,,,,,,
Osaühing AUTOMATION TECHNOLOGY SOLUTION GROUP,,,,,,,,,,
Avantize Technology OÜ,contact@avantize.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Axacuss Technology OÜ,axacuss@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
BAI TECHNOLOGY OÜ,info@xolo.io,+658 1810020,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Balt Drive Technology OÜ,baltdrivetechnology@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 7-132, 10145
                            ",,,,,,,
Baltford Technology Engineering Osaühing,,,,,,,,,,
Osaühing Baltic Building Technology,vitali@viilkatus.com,+372 5069701,"Harju maakond, Saku vald, Roobuka küla, Roheluse tee 27, 75516
                            ",,,,,,,
Baltic Data Technology OÜ,,,,,,,,,,
Baltic Defence & Technology OÜ,info@balticdefencetech.eu,,"Harju maakond, Maardu linn, Vana-Narva mnt 30/1, 74114
                            ",,,,,,,
Osaühing BalticDrive Technology,baltdrivetechnology@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Liivalaia tn 29-3, 10118
                            ",,,,,,,
Baltic Future Technology AS,,,,,,,,,,
Baltic Investment Technology OÜ,berti.mb@libero.it,+372 56166770,"Ida-Viru maakond, Narva linn, Uusküla tn 13-18, 20204
                            ",,,,,,,
Baltic Marine Technology Osaühing,,,,,,,,,,
Osaühing Baltic Medical Technology,,,,,,,,,,
Baltic Safety Lab OÜ,bsl@newtest.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 7, 10126
                            ",,,,,,,
Osaühing Baltic Technology,,,,,,,,,,
Baltic Technology Solutions OÜ,baltic.technology.solutions@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 110-7, 1313
                            ",,,,,,,
Baltic Wood Technology OÜ,bwtestonia@gmail.com,+372 58902656,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Maleva tn 2n/2-2, 11711
                            ",,,,,,,
AS Bankish,bankish@bankish.eu,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 25, 10117
                            ",,,,,,,
Ban kos Technology OÜ,info@bankos.io,,"Harju maakond, Tallinn, Kesklinna linnaosa, Laeva tn 2, 10111
                            ",,,,,,,
Basedata Technology OÜ,info@expatlegalestonia.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Ruunaoja tn 3, 11415
                            ",,,,,,,
Basic Technology EST osaühing,info@woosh.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Uus-Sadama tn 21, 10151
                            ",,,,,,,
Bauer Watertechnology Osaühing,aare.ormus@bauer-wt.ee,+372 5277047,"Harju maakond, Tallinn, Haabersti linnaosa, Humala tn 8, 10617
                            ",,,,,,,
BB Technology OÜ,natalja.mikhaylova@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 55, 10115
                            ",,,,,,,
Behavioral Technology Group OÜ,info@estlegalservices.com,,"Pärnu maakond, Pärnu linn, Pärnu linn, Papiniidu tn 5, 80042
                            ",,,,,,,
Bestra Technology OÜ,info@mec.ee,+372 5092585,"Viljandi maakond, Viljandi vald, Päri küla, Tobra tee 14, 71023
                            ",,,,,,,
BGTechnology OÜ,Georgi@blueglass.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Järvevana tee 7b, 10112
                            ",,,,,,,
Bibox Technology OÜ,,,,,,,,,,
bide technology OÜ,kaspar.paell@gmail.com,+372 53020900,"Tartu maakond, Tartu linn, Tartu linn, Narva mnt 3, 51009
                            ",,,,,,,
Bigstone Technology OÜ,elar.smartclub@gmail.com,,"Harju maakond, Lääne-Harju vald, Suurküla, Suurekivi-201, 76011
                            ",,,,,,,
Big technology servers OÜ,nkimgarage@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 110, 13517
                            ",,,,,,,
Bilance Technology OÜ,mihkel.vetemaa@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Spordi tn 10a-5, 11315
                            ",,,,,,,
binderr technology OÜ,jacob@binderr.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Aia tn 4-20, 10148
                            ",,,,,,,
Binol Technology OÜ,,,,,,,,,,
Bint Technology OÜ,16353700@eesti.ee,+498 9420953999,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
BitacoraTechnology OÜ,exit@newnormal.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Lõõtsa tn 2a, 11415
                            ",,,,,,,
Bitall Financial Technology OÜ,,,,,,,,,,
BITCI Technology OÜ,altan.tan@bitci.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Osmussaare tn 8, 13811
                            ",,,,,,,
BKS technology OÜ,Info@bks.ee,+372 5088732,"Ida-Viru maakond, Sillamäe linn, I. Pavlovi tn 2-5, 40232
                            ",,,,,,,
Blackram Technology OÜ,karakoc.ibrahim@hotmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 13, 10111
                            ",,,,,,,
Blockry Technology Solutions OÜ,,,,,,,,,,
Block Technology Europe OÜ,,,,,,,,,,
BlockTechnology OÜ,isaac@blocktech.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Paepargi tn 45-29, 11417
                            ",,,,,,,
Blotocol OÜ,,,,,,,,,,
BM TECHNOLOGY OÜ,bmtech1104@gmail.com,+372 5089668,"Harju maakond, Tallinn, Lasnamäe linnaosa, Linnamäe tee 79-88, 13911
                            ",,,,,,,
Boergen Technology OÜ,contact@boergen.tech,+372 02625336,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Bolt Technology OÜ,registry.notices@bolt.eu,+372 56645297,"Harju maakond, Tallinn, Kesklinna linnaosa, Vana-Lõuna tn 15, 10134
                            ",,,,,,,
Borna Technology OÜ,62316e@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tuukri tn 19-315, 10120
                            ",,,,,,,
Bosphorus Development and Technology Center OÜ,,,,,,,,,,
Botgate AI Technology OÜ,baris.gulbas@botgate.ai,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
