Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
MTÜ Active Tourism Zone,atz.mtu@gmail.com,+372 55594562,"Ida-Viru maakond, Narva-Jõesuu linn, Narva-Jõesuu linn, Karja tn 7-16, 29023
                            ",,,,,,,
OÜ BUENAVISTA,maksim.martinovich@gmail.com,+372 53041795,"Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Jaaniku tn 32, 31026
                            ",,,,,,,
Business Tourism Solutions OÜ,travel24h@protonmail.com,,,,,,,,,
Chamber of Tourism and Marketing RUSSIAN EXCLUSIVE OÜ,tourchamber@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Madala tn 30-31, 10315
                            ",,,,,,,
Educational Tourism MTÜ,jogar.maie@gmail.com,+372 5029700,"Valga maakond, Otepää vald, Puka alevik, Ääre tn 5-12, 67217
                            ",,,,,,,
Osaühing Estonian Tourism and Real Estate Service,,,,,,,,,,
Estonian Tourism Data OÜ,maarja-liis.p@etd.ee,+372 59058726,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Roo tn 18a/1, 10611
                            ",,,,,,,
Europe Tourism OÜ,nischay@tourpassion.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
osaühing Food & Tourism,pille@torva.ee,,"Valga maakond, Tõrva vald, Tõrva linn, Kangro tn 3, 68604
                            ",,,,,,,
G & G Tourism and Investment OÜ,guvenguzelbey@gmail.com,+90 5322803273,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 88-88, 10321
                            ",,,,,,,
GLOBAL PASS TRAVEL AND TOURISM AND ECOMMERCE Eesti filiaal,,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veskiposti tn 2-1002, 10138
                            ",,,,,,,
GrandTourisme OÜ,erik.muugamae@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pae tn 25-47, 11414
                            ",,,,,,,
Green Heart Tourism OÜ,info@xolo.io,+316 54724104,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Innovative Business Environment OÜ,,,,,,,,,,
Kama Tourism OÜ,,,,,,,,,,
"Mittetulundusühing Konsultatsiooni Keskus ""Edu tee""",,,,,,,,,,
OÜ Landtourism Ehitus,,,,,,,,,,
MALIBA MAKASI TOURISM OÜ,brunov@360gondwana.travel,+32 499334683,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 10, 10148
                            ",,,,,,,
Mittetulundusühing Nordic Centre for Eco- and Nature Tourism,marius.kuningas@techconsult.ee,+372 55609996,"Harju maakond, Tallinn, Mustamäe linnaosa, Teaduspargi tn 8, 12618
                            ",,,,,,,
Nordic Tourism Collective OÜ,andy@nordictourismcollective.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
NOVATEX TOURISM OÜ,info@nvtx.ee,,"Ida-Viru maakond, Toila vald, Toila alevik, Nurme tn 10, 41702
                            ",,,,,,,
Online Tourism Partner OÜ,taliptasci@yandex.com,,"Karaçalı mah. Sunset Villaları, no:2 dalaman/muğla, 48770, Turkey
                            ",,,,,,,
Quality Tourism OÜ,katariina303@gmail.com,+372 5044953,"Põlva maakond, Räpina vald, Räpina linn, Kooli tn 1, 64504
                            ",,,,,,,
SIMO ZAXO TRAVEL & TOURISM OÜ,miralan@list.ru,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Muhu tn 8-9, 13912
                            ",,,,,,,
OÜ Sustainable Tourism Development,,,,,,,,,,
Tehnikapark OÜ,info@sauger.ee,+372 56933660,"Harju maakond, Saue vald, Kabila küla, Aasa AÜ 20, 76311
                            ",,,,,,,
