Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Beauty Transportation OÜ,nbb70@gmx.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Estonia pst 5-309b, 10143
                            ",,,,,,,
Della Transportation Technologies OÜ,info@xolo.io,+385 994847437,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Estonian Transportation Advertising OÜ,henry.valkonen@bussimainos.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Juhkentali tn 52-19, 10113
                            ",,,,,,,
JRA Transportation OÜ,jratransportation1@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 12-11, 10141
                            ",,,,,,,
MERCURY TRANSPORTATIONS OÜ,mercuryveod@gmail.com,+372 56855138,"Harju maakond, Tallinn, Nõmme linnaosa, Kauge tn 6-13, 11215
                            ",,,,,,,
Osaühing Nataša Transportation,,,,,,,,,,
Northern Transportation Services OÜ,kristjan.pohjala@gmail.com,+372 58221122,"Lääne-Viru maakond, Tapa vald, Lokuta küla, Villemi, 45004
                            ",,,,,,,
North Transportation & Logistics Osaühing,,,,,,,,,,
NS Transportation OÜ,,,,,,,,,,
Ntex OÜ,aire.tamm@ntex.com,+372 5033859,"Harju maakond, Tallinn, Lasnamäe linnaosa, Osmussaare tn 8, 13811
                            ",,,,,,,
PatMax Invest OÜ,,,,,,,,,,
Professional Logistics Transportation OÜ,,,,,,,,,,
Rail Transportation Service Broker OÜ,a.afanassova@gmail.com,+372 53301641,"Harju maakond, Tallinn, Pirita linnaosa, Supluse pst 1-130w, 11911
                            ",,,,,,,
AS RSI Transportation,info@skinest.ee,,"Harju maakond, Tallinn, Haabersti linnaosa, Mõisa tn 4, 13522
                            ",,,,,,,
OÜ RVK TRANSPORTATION,,,,,,,,,,
SR TRANSPORTATION OÜ,martinsaar001@gmail.com,+372 53866376,"Lääne maakond, Lääne-Nigula vald, Kirimäe küla, Saarevälja, 90805
                            ",,,,,,,
TANAGOLD WORLDWIDE TRANSPORTATION OÜ,,,,,,,,,,
Transportation & Logistics Agency OÜ,info.logagency@gmail.com,+372 5065273,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Köleri tn 8, 10150
                            ",,,,,,,
UATL Transportation Osaühing,uatl@uatl.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Väike-Ameerika tn 19-110, 10129
                            ",,,,,,,
VEPZ Ehitus OÜ,,,,,,,,,,
