Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
Bible University OÜ,ekov@ukr.net,,,,,,,,,
Cosmopolitan University OÜ,akinyemi.ben@gmail.com,,"Normannenstrasse 39, Bern, 3018, Switzerland
                            ",,,,,,,
Estonian Leadership University OÜ,,+251 911217668,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
EuroAsian University OÜ,ooec.india@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tornimäe tn 5, 10145
                            ",,,,,,,
European University of Research and Modern Studies OÜ,info@estlegalservices.com,,"Tartu maakond, Kambja vald, Soinaste küla, Tartu mnt 84, 61709
                            ",,,,,,,
Funiversity OÜ,,,,,,,,,,
GEOUNIVERSITY OÜ,dimsyk@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
Mittetulundusühing INTERNATIONAL UNIVERSITY AUDENTES STUDENT UNION,,,,,,,,,,
Northridge Institute of Business and Technology OÜ,info@northridge.ee,,"Harju maakond, Viimsi vald, Haabneeme alevik, Heki tee 3-14, 74001
                            ",,,,,,,
mittetulundusühing Students’ Entrepreneurship Club of University of Tartu,,,,,,,,,,
Mittetulundusühing THE BALTIC UNIVERSITY FOUNDING COMMITTEE,,,,,,,,,,
UATL Private Research University OÜ,uatl@uatl.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Väike-Ameerika tn 19-110, 10129
                            ",,,,,,,
university18 OÜ,info@xolo.io,+372 6682518,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Mittetulundusühing UniversityAdmission.eu,info@2day.ee,+372 55678211,"Harju maakond, Tallinn, Kesklinna linnaosa, Luise tn 40-15, 10142
                            ",,,,,,,
University Avenue OÜ,argo.karuse@gmail.com,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Telliskivi tn 57/1, 10412
                            ",,,,,,,
University of Applied Management International OÜ,pp@psychometry.cz,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117
                            ",,,,,,,
UNIVERSITY OF METAVERSE OÜ,yesnoman@fastmail.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
up.university OÜ,info@xolo.io,+380 675002246,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
